taxonid,topt,hidden,name,fname,assembly,phylum,subdivision,class,order,family,genus
666510,82.0,0,Acidilobus saccharovorans 345-15,Acidilobus_saccharovorans,GCA_000144915.1_ASM14491v1,Crenarchaeota,Thermoprotei,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus
200415,72.0,0,Caldisphaera lagunensis,Caldisphaera_lagunensis,GCA_000317795.1_ASM31779v1,Crenarchaeota,Thermoprotei,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
229980,85.0,0,Aeropyrum camini,Aeropyrum_camini,GCA_000591035.1_ASM59103v1,Crenarchaeota,Thermoprotei,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum
272557,92.0,0,Aeropyrum pernix K1,Aeropyrum_pernix,GCA_000011125.1_ASM1112v1,Crenarchaeota,Thermoprotei,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum
768672,82.0,0,Desulfurococcus fermentans DSM 16532,Desulfurococcus_fermentans,GCA_000231015.3_ASM23101v3,Crenarchaeota,Thermoprotei,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus
490899,85.0,0,Desulfurococcus kamchatkensis 1221n,Desulfurococcus_kamchatkensis,GCA_000020905.1_ASM2090v1,Crenarchaeota,Thermoprotei,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus
765177,85.0,0,Desulfurococcus mucosus DSM 2162,Desulfurococcus_mucosus,GCA_000186365.1_ASM18636v1,Crenarchaeota,Thermoprotei,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus
94694,91.0,0,Desulfurococcus amylolyticus,Desulfurococcus_amylolyticus,GCA_000513855.1_ASM51385v1,Crenarchaeota,Thermoprotei,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus
453591,90.0,0,Ignicoccus hospitalis KIN4/I,Ignicoccus_hospitalis,GCA_000017945.1_ASM1794v1,Crenarchaeota,Thermoprotei,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus
583356,93.0,0,Ignisphaera aggregans DSM 17230,Ignisphaera_aggregans,GCA_000145985.1_ASM14598v1,Crenarchaeota,Thermoprotei,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignisphaera
591019,85.0,0,Staphylothermus hellenicus DSM 12710,Staphylothermus_hellenicus,GCA_000092465.1_ASM9246v1,Crenarchaeota,Thermoprotei,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus
399550,92.0,0,Staphylothermus marinus F1,Staphylothermus_marinus,GCA_000015945.1_ASM1594v1,Crenarchaeota,Thermoprotei,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus
1184251,84.0,0,Thermogladius cellulolyticus 1633,Thermogladius_cellulolyticus,GCA_000264495.1_ASM26449v1,Crenarchaeota,Thermoprotei,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermogladius
633148,85.0,0,Thermosphaera aggregans DSM 11486,Thermosphaera_aggregans,GCA_000092185.1_ASM9218v1,Crenarchaeota,Thermoprotei,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermosphaera
415426,100.0,0,Hyperthermus butylicus DSM 5456,Hyperthermus_butylicus,GCA_000015145.1_ASM1514v1,Crenarchaeota,Thermoprotei,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus
694429,106.0,0,Pyrolobus fumarii 1A,Pyrolobus_fumarii,GCA_000223395.1_ASM22339v1,Crenarchaeota,Thermoprotei,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrolobus
1163730,67.0,0,Fervidicoccus fontis Kam940,Fervidicoccus_fontis,GCA_000258425.1_ASM25842v1,Crenarchaeota,Thermoprotei,Thermoprotei,Fervidicoccales,Fervidicoccaceae,Fervidicoccus
1160895,75.0,0,Candidatus Acidianus copahuensis,Candidatus_Acidianus_copahuensis,GCA_000632495.1_AciCop1.0,Crenarchaeota,Thermoprotei,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus
933801,85.0,0,Acidianus hospitalis W1,Acidianus_hospitalis,GCA_000213215.1_ASM21321v1,Crenarchaeota,Thermoprotei,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus
1006006,65.0,0,Metallosphaera cuprina Ar-4,Metallosphaera_cuprina,GCA_000204925.1_ASM20492v1,Crenarchaeota,Thermoprotei,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera
1111107,65.0,0,Metallosphaera yellowstonensis,Metallosphaera_yellowstonensis,GCA_000243315.1_ASM24331v1,Crenarchaeota,Thermoprotei,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera
399549,75.0,0,Metallosphaera sedula DSM 5348,Metallosphaera_sedula,GCA_000016605.1_ASM1660v1,Crenarchaeota,Thermoprotei,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera
330779,80.0,0,Sulfolobus acidocaldarius DSM 639,Sulfolobus_acidocaldarius,GCA_000012285.1_ASM1228v1,Crenarchaeota,Thermoprotei,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus
273057,80.0,0,Sulfolobus solfataricus P2,Sulfolobus_solfataricus,GCA_000007005.1_ASM700v1,Crenarchaeota,Thermoprotei,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus
