taxonid	topt	hidden	name
414004	10	0	Cenarchaeum symbiosum A
420950	18	0	Methanolobus psychrophilus
1007084	22	0	Candidatus Nitrosoarchaeum limnia
368407	22	0	Methanoculleus marisnigri JR1
259564	23.4	0	Methanococcoides burtonii DSM 6242
1510466	25	0	Candidatus Nitrosopumilus koreensis
1229909	25	0	Candidatus Nitrosopumilus sp. AR2
2221	25	0	Methanolobus tindarius
367189	27	0	Haladaptatus paucihalophilus
436308	27	0	Nitrosopumilus maritimus SCM1
889948	28	0	Candidatus Nanosalina sp. J07AB43
889962	28	0	Candidatus Nanosalinarum sp. J07AB56
408577	28	0	Methanobacterium veterum
1036677	28	0	Methanosarcina soligelidi
411361	30	0	Halosarcina pallida
877455	30	0	Methanobacterium lacus
521011	30	0	Methanosphaerula palustris E1-9c
1353246	30	0	Thaumarchaeota archaeon MY2
882104	32	0	Methanoregula formicica
416348	34	0	Halorubrum lacusprofundi ATCC 49239
255616	35	0	Haloferax sulfurifontis
868132	35	0	Methanobacterium sp. AL-21
868131	35	0	Methanobacterium sp. SWAN-1
101192	35	0	Methanomethylovorans hollandica
456442	35	0	Methanoregula boonei 6A8
269797	35	0	Methanosarcina barkeri str. Fusaro
192952	35	0	Methanosarcina mazei Go1
323259	35	0	Methanospirillum hungatei JF-1
64602	35	0	Natrialba asiatica
304371	36	0	Methanocella paludicola SANAE
1406512	37	0	Candidatus Methanomassiliicoccus intestinalis
1291540	37	0	Candidatus Methanomethylophilus alvus
453847	37	0	Haladaptatus cibarius
1457250	37	0	Halapricum salinum
489138	37	0	Halarchaeum acidiphilum
244363	37	0	Haloarcula californiae
634497	37	0	Haloarcula hispanica ATCC 33960
35742	37	0	Haloarcula sinaiiensis
28442	37	0	Haloarcula vallismortis
1448860	37	0	Halobellus rufus
332168	37	0	Halococcus hamelinensis
2250	37	0	Halococcus morrhuae
62319	37	0	Halococcus saccharolyticus
1264579	37	0	Halococcus sediminicola
335952	37	0	Halococcus thailandensis
114529	37	0	Haloferax alexandrinus
35745	37	0	Haloferax denitrificans
35746	37	0	Haloferax gibbonsii
2254	37	0	Haloferax lucentense
1227462	37	0	Haloferax sp. ATCC BAA-644
693851	37	0	Halogranum salarium
1380430	37	0	Halolamina rubra
387343	37	0	Halopiger xanaduensis
797210	37	0	Halopiger xanaduensis SH-6
362976	37	0	Haloquadratum walsbyi DSM 16790
416585	37	0	Halorubrum californiense
64713	37	0	Halorubrum coriense
413816	37	0	Halorubrum halophilum
1227480	37	0	Halorubrum hochstenium
478441	37	0	Halorubrum kocurii
353800	37	0	Halostagnicola larsenii
504937	37	0	Haloterrigena salina
332953	37	0	Halovivax asiaticus
387341	37	0	Halovivax ruber
386456	37	0	Methanobacterium arcticum
2162	37	0	Methanobacterium formicicum
39441	37	0	Methanobrevibacter arboriphilus
66851	37	0	Methanobrevibacter oralis
420247	37	0	Methanobrevibacter smithii ATCC 35061
190977	37	0	Methanobrevibacter wolinii
71518	37	0	Methanocorpusculum bavaricum
410358	37	0	Methanocorpusculum labreanum Z
1201294	37	0	Methanoculleus bourgensis MS2
547558	37	0	Methanohalophilus mahii DSM 5219
1080712	37	0	Methanomassiliicoccus luminyensis
679926	37	0	Methanoplanus petrolearius DSM 11571
990316	37	0	Methanosaeta concilii GP6
1110509	37	0	Methanosaeta harundinacea 6Ac
160846	37	0	Natrialba taiwanensis
222984	37	0	Natrinema altunense
69525	37	0	Natrinema pellirubrum
406552	37	0	Natrinema sp. J7-2
44930	37	0	Natronobacterium gregoryi
1333523	37	0	Salinarchaeum sp. Harcht-Bsk1
662759	38	0	Candidatus Parvarchaeum acidiphilum
662761	38	0	Candidatus Parvarchaeum acidophilus
523841	38	0	Haloferax mediterranei ATCC 33500
437163	38	0	Halomicrobium katesii
337243	38	0	Halorubrum ezzemoulense
171164	38	0	Halosimplex carlsbadense
1348249	38	0	Methanobrevibacter boviskoreani
224719	38	0	Methanobrevibacter sp. AbM4
426368	38	0	Methanococcus maripaludis C7
406327	38	0	Methanococcus vannielii SB
456320	38	0	Methanococcus voltae A3
339860	38	0	Methanosphaera stadtmanae DSM 3091
547559	38	0	Natrialba magadii ATCC 43099
419186	38	0	Natrinema gari
69527	38	0	Natrinema pallidum
416273	38	0	Natronomonas moolapensis
97393	39	0	Ferroplasma acidarmanus
1071085	39	0	haloarchaeon 3A1 DGR
634498	39	0	Methanobrevibacter ruminantium M1
1054217	39	0	Thermoplasmatales archaeon BRNA1
43776	40	0	Haloarcula argentinensis
36738	40	0	Halococcus salifodinae
469382	40	0	Halogeometricum borinquense DSM 11551
485914	40	0	Halomicrobium mukohataei DSM 12286
376171	40	0	Haloplanus natans
409316	40	0	Halorubrum litoreum
119434	40	0	Halorubrum tebenquichense
2201	40	0	Methanofollis liminatans
2205	40	0	Methanomicrobium mobile
2315	40	0	Methanoplanus limicola
188937	40	0	Methanosarcina acetivorans C2A
129789	40	0	Natrialba aegyptia
29288	40	0	Natronococcus occultus
795797	41	0	Halalkalicoccus jeotgali B3
396317	41	0	Haloarcula amylolytica
478009	41	0	Halobacterium salinarum R1
64091	41	0	Halobacterium sp. NRC-1
368623	41	0	Halorubrum aidingense
267368	41	0	Halorubrum terrestre
413811	41	0	Haloterrigena jeotgali
413812	41	0	Natronococcus jeotgali
253107	41	0	Natronolimnobius innermongolicus
130048	42	0	Halobiforma nitratireducens
368454	42	0	Halorubrum arcis
402880	42	0	Methanococcus maripaludis C5
44470	42	0	Natronococcus amylolyticus
1034015	42	0	Nitrososphaera viennensis
229731	43	0	Halobiforma lacisalsi
302484	43	0	Haloferax larsenii
381852	43	0	Haloferax prahovense
