,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24
A,-0.00786732697498,-0.00965247891026,-0.0148460161176,0.0095722840732,-0.00375411694339,-0.00122797278559,0.000467018659433,-0.000512523140926,-0.00144409578225,-0.00423054595324,-0.000909445485546,-0.0132077282479,-0.00902384834158,0.00674923417551,0.0168270019999,0.0175399078072,0.00152725037816,-0.00119402466267,-0.0150217905219,-0.00134666297231,-0.000715291322351,-0.00718974494653,-0.00663067349386,-0.0012245004683,0.0183526874136
C,-0.0116196201853,-0.0123855215985,-0.00853739735178,-0.00951444162578,-0.0100103699673,-0.0102386926709,-0.0122136296605,-0.0096805697819,-0.0121965138965,-0.0112510112672,-0.00849163187169,-0.0115401384988,-0.0137622716204,-0.0103682411757,-0.0107991217097,-0.00992347670539,-0.0106356008203,-0.0107604061942,-0.0107948953066,-0.0103794307198,-0.0107130146796,-0.0106150467642,-0.0108244235809,-0.0122760888197,-0.00799262976825
D,-0.0192998581489,-0.0184300929188,-0.0149623092355,-0.0202635405426,-0.0184368224962,-0.0225219575343,-0.0207301451504,-0.019193299248,-0.017209232292,-0.0205586787759,-0.0188452211416,-0.0190778907576,-0.0185548625069,-0.0194884571189,-0.0195971484239,-0.0190161268803,-0.0220055901541,-0.018124417679,-0.0199465616548,-0.0168291310107,-0.0222803736169,-0.0186573147002,-0.0175707162935,-0.019928634472,-0.0192775293047
E,0.0143037288534,0.0186125707932,0.0235471584353,0.0103521548465,0.0153765351418,0.0212527256993,0.0191594519616,0.015600609318,0.0227913439196,0.00984462134349,0.0213628298446,0.0216567097746,0.0160852449655,0.0236498093711,0.0111602077432,0.0108212627656,0.0172408918483,0.0182457692545,0.0200543881213,0.0255250336461,0.0186082124862,0.0167383427167,0.0140218511865,0.0209485249687,0.0161538265927
F,0.00142050789503,-0.000923584957259,-0.000597450276022,-0.003682105195,-0.00291568333442,-0.00211561968123,-0.000226705042746,-0.00423187580165,-0.00248844738762,-0.00248885916684,-0.00190284101439,0.00318966236215,-0.000205403770538,0.00138170614613,-0.00379704913968,-0.00365347821378,0.000786364343984,-1.1975877869e-06,0.00459274098596,-0.00119393343121,-0.000925624802045,0.00150369290405,-0.00358238451325,-8.12965513055e-06,-0.00432092231248
G,-0.00918762703008,-0.00730329014352,-0.0120554477699,-0.00209416790283,-0.0052898352447,-0.00500920647256,-0.00332413703763,-0.000491832700812,-0.0048426170839,-0.00873834175522,-0.00715352582218,-0.00678630688837,-0.0101512007425,-0.00652496825297,0.00267713669518,4.38606705641e-05,-0.0115875353535,-0.00563870051364,-0.0123323169561,-0.00310825620537,-0.00761167184585,-0.00668101308753,-0.00733934210941,-0.00666096055856,0.00534957147967
H,-0.00270745524694,-0.00375018817108,-0.00372438289099,-0.00292369791639,-0.00342309773616,-0.000313950305511,-0.0019416557658,-0.00192382067432,-0.00502679711028,-0.00412987103594,-0.00332978233018,-0.00440889272733,-0.004102137148,-0.00294576276351,-0.00255660606786,-0.0011803005917,-0.00323160520541,-0.00327988422839,-0.00370600342756,-0.00403293508478,-0.00286763558355,-0.00362945301322,-0.00243944478453,-0.00138787275633,-0.00288988230301
I,-0.000716624818365,0.00491033464997,0.011542414639,-0.00831316098196,-0.00798622778533,-0.00376413395303,-0.00708221493018,-0.00518948272,0.00332764598495,0.00454385929381,-0.00195975170029,0.0114769365604,-0.000190964710814,-0.00413386087223,-0.00912857235924,-0.0234946365506,-0.00393978052425,-0.00680938395262,0.0032518910613,0.00649599050323,-0.00455408885638,0.00615331886422,0.00480909231675,-0.00782529398688,-0.0210877180085
K,0.00342981532271,0.0100817562116,0.0194565882843,-0.000699183596979,0.00801064057999,0.0049675866289,0.00322120556344,-0.00428247669369,0.00923469658961,0.0156267840414,0.0145887382064,0.023684186986,0.0199739261946,0.0105528967133,-0.00974312903724,-0.0163021592293,0.00742428806856,0.000267103025603,0.0291643775277,0.0134050103346,0.000605986750455,0.00740028220199,0.00232135953146,0.00654054250176,-0.00971065307051
L,0.0290631829452,0.021270070255,0.0174110528069,0.0233568106896,0.0200609383611,0.0266439158074,0.0256487326962,0.0227955392873,0.0171491309013,0.0244094419723,0.0169241775301,0.0153943110971,0.0217482851747,0.0168382307633,0.0189414807128,0.0292296848109,0.0295518468367,0.0259701090871,0.0182867239986,0.0131185635405,0.0267241385017,0.0194687025844,0.020955675616,0.0203297061334,0.0241589159178
M,-0.012209827059,-0.00957040449769,-0.0118298140296,-0.00859469061583,-0.00826222524134,-0.00974885356343,-0.00888411939895,-0.00993532279213,-0.00887782406766,-0.00848314518119,-0.00969544162275,-0.0103350328875,-0.0109911190053,-0.0122807014781,-0.00932402084199,-0.0103058504087,-0.015805522751,-0.0123925013343,-0.0128562610771,-0.00772536070839,-0.0126811683112,-0.0116919180791,-0.0104031118729,-0.0108628331847,-0.00910665563368
N,-0.0185400809348,-0.015649935203,-0.0115050454467,-0.022460155799,-0.0165853274742,-0.0257454057228,-0.0269070250644,-0.0188493039044,-0.0177868819704,-0.0193056309832,-0.0150598754938,-0.0110549498513,-0.0097985978913,-0.0224827923434,-0.0217652083375,-0.0315180137343,-0.020595330371,-0.0194718438872,-0.00943477897441,-0.0152616102003,-0.0170046322069,-0.0119361962064,-0.0138992418649,-0.0241387373728,-0.032337880218
