,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30,iter31,iter32,iter33,iter34,iter35,iter36,iter37,iter38,iter39,iter40,iter41,iter42,iter43,iter44,iter45,iter46,iter47,iter48,iter49
A,-8.00213326164e-05,-0.00512909382709,-0.00859213261051,0.00859246337342,-0.0100208681881,0.0150927933264,0.0117294594025,0.0160475727422,0.0061873032359,0.00120431163648,0.00508821887934,-0.0139083107574,0.000647577447572,0.00285085148895,-0.00753563907403,0.0049204298212,0.00477627045542,0.00429592121268,0.00504481466142,0.0125512458408,0.00686256998824,0.0233529456943,-0.00978537874034,-0.0185695266231,-0.00321922392224,0.00623676622726,-0.00943046670463,0.000694179245337,-0.00155797468254,0.00511834658468,0.00686031527562,0.00665640810831,0.0207540201419,-0.00582433426028,0.0108115874854,0.0208187353728,0.00224580883394,-0.0034129377151,0.00623489690618,0.0142633474502,-0.00989990097071,0.0038635860322,-0.00400424327532,0.00990203334166,0.00528948377634,0.0169046642455,-0.00506627429766,0.0121762109771,-0.00146926944906,-0.00319461948409
C,-0.0088221373112,-0.00851967134322,-0.00993700762725,-0.0075168888759,-0.00818615515993,-0.00629433785472,-0.00677486784236,-0.00667783875084,-0.00895861768256,-0.00780598370893,-0.00729429213366,-0.00784880110185,-0.00743843677483,-0.00760851199149,-0.00822716047262,-0.00866816642784,-0.00502862123287,-0.0065736437117,-0.00787175298705,-0.00639643205458,-0.00726039993015,-0.00469071058848,-0.00826892953727,-0.00835318342818,-0.00752173788138,-0.00796867011393,-0.00890364030934,-0.00729854894415,-0.00709600002999,-0.00774485621602,-0.00712245514073,-0.00838702262767,-0.00932397159295,-0.00809411124358,-0.00759583272955,-0.00664037354445,-0.00763008070478,-0.00740694909475,-0.00701611743991,-0.00871038127811,-0.00757695271112,-0.00847445012583,-0.00905346986762,-0.0082071660548,-0.00640080020376,-0.00725809914872,-0.00693263060081,-0.00763231047378,-0.00828063493138,-0.00690939937251
D,-0.0229998206813,-0.0226629210482,-0.0221183262701,-0.0215250915459,-0.0196348210769,-0.0210751974693,-0.0215199632,-0.0247707933109,-0.0217556212836,-0.0229281009696,-0.0227657256694,-0.0206054217453,-0.0220017756885,-0.0258653093843,-0.0183942988286,-0.0239455725204,-0.0194810605773,-0.0209775509545,-0.0245129773702,-0.0239952170134,-0.0229055722016,-0.0220673251774,-0.0218005162454,-0.0225841624614,-0.0185899784524,-0.0221380496279,-0.0207412312967,-0.0218463645612,-0.0188880453916,-0.0225260997343,-0.0192567162043,-0.0226338286297,-0.026160301172,-0.0228936017067,-0.0245359176727,-0.0197466680476,-0.0199503159944,-0.0214893221455,-0.0212565920957,-0.0237558644916,-0.0209424321973,-0.0224311994264,-0.0263543969223,-0.0254221677638,-0.0217732896962,-0.0225711831757,-0.0221832353432,-0.0199779153403,-0.0224497047028,-0.0228405838099
E,0.0138636944384,0.0126485530351,0.014789753798,0.0163310650316,0.0240602929127,0.0135880643906,0.0189479218205,0.00604574060154,0.0139623310298,0.0183092464696,0.0171733715548,0.0166665048723,0.00536357647913,0.0164878180372,0.0145706825496,0.0123448106535,0.0245924882876,0.0178224139089,0.0114169054829,0.0140764096085,0.0210208415923,0.0174252190082,0.00921540379191,0.0189030767011,0.014069287131,0.0143799868304,0.0207533008132,0.0119116360475,0.0142587165088,0.0196391501424,0.0164651726611,0.012870772734,0.00797010735704,0.0174071540789,0.0121540874344,0.0127716647685,0.013622307355,0.0211711385526,0.0173797546744,0.0164628829359,0.0163929742262,0.0153058871585,0.0171661389504,0.0137518565185,0.0168213218065,0.0170763592203,0.0214453484725,0.0139960605516,0.00979452444473,0.0134441689493
F,0.000810509122427,-0.0017430594171,0.00174881563866,-0.00307406962733,0.00235362080696,-0.00326888875676,-0.00420490213287,-0.00436997768073,-0.000715924660407,-0.000943749084052,-0.00362794429621,0.00101278929981,-0.00400106668839,-0.00278426589797,0.000944830579783,-0.00279404622563,-0.00179922776653,2.30929371196e-05,-0.00216084164341,-0.00514778422527,-0.00256058780971,-0.00812864448572,-7.59447980237e-05,0.00375480982675,-0.000364661051202,-0.000942064807806,0.00294270098638,0.000913717423367,-0.00284011441106,-0.00021791987602,-0.00312713219479,-0.00347780557101,-0.00523914111616,0.00193883048758,-0.00591147539463,-0.00449479622308,-0.0017727980214,0.00324404164725,-0.00290328954418,-0.00481402334233,0.000261297869758,-0.00323544346356,0.00173471928988,-0.00415884221528,-0.00380256848052,-0.00317113767017,1.42509796277e-05,-0.00381517893418,-0.00101807447659,0.000228429040771
G,-0.00328982246081,-0.00470251977087,-0.00569842983959,0.00432095078387,-0.000552395262235,0.00102240636092,0.00384341234375,0.00214499425326,-0.00392550798429,-0.000897176618632,0.00241816796249,-0.00873787472196,-0.00271059813501,-0.00466613696842,-0.00731892338226,0.00184209460809,0.00110537862191,-0.003570390712,0.000920891669777,0.00491404820628,-0.00220568271443,0.00632725747269,-0.00921630128063,-0.00753579396655,-0.00748050701824,-0.00078582506432,-0.00316717128137,-0.00302819219817,-0.0037394588185,-0.00158250038504,0.000956957561361,0.000826337496834,0.00398039041368,-0.00409301987066,0.000104700301036,0.00663530034897,-0.00416794915053,-0.00424985235201,0.00238281819627,0.00497103001385,-0.00858729723871,-0.000179501199045,-0.00303430939004,0.00494434265527,0.00129235520669,0.00652341377931,-0.00410563898178,0.00291060803198,-0.00382829505329,-0.00715235787337
H,-0.00457751639693,-0.00488847050915,-0.0061511593241,-0.0042859367539,-0.00539116470981,-0.00380669186018,-0.00409095537863,-0.00340743581931,-0.00475344854956,-0.00312801704422,-0.0039964605493,-0.00508653873469,-0.00487004067465,-0.00409737283646,-0.00593233049625,-0.00524067873456,-0.00405526456568,-0.00567885400022,-0.00517319094722,-0.00425458229221,-0.00317238671967,-0.00227860398957,-0.00621071272135,-0.00603752503413,-0.00675428583917,-0.00455734050563,-0.00530734836871,-0.00482650737406,-0.00516167827859,-0.00481865789975,-0.0042590859917,-0.00246403138612,-0.00293027547099,-0.0050673316119,-0.00280632625394,-0.00439677502579,-0.00514636828498,-0.00564092728869,-0.00425706081389,-0.00322725704451,-0.00447408468899,-0.00515363497133,-0.00484909113032,-0.00366909830382,-0.00324092163935,-0.00334402866565,-0.00459178439434,-0.00528211881024,-0.00521664806619,-0.00593225893928
I,-0.00635092709327,0.00495329987812,0.00223971542375,-0.0104560918419,0.00443611240888,-0.0103415279771,-0.0153202519539,-0.0134369699745,-0.00832298692558,-0.00224017735292,-0.00754341508168,0.00669173712006,0.000287214905449,-0.00440129307661,0.00620256641229,-0.00528582707021,-0.00662963119765,-0.00371663219882,-0.00547931019315,-0.016130157074,-0.010710001898,-0.0235785215261,0.0104407645023,0.0110056375278,-0.000165658411036,-0.00568359851441,0.0091309801246,0.00125596273666,0.00553403058242,-0.0101204271689,-0.00548689205701,-0.00697041270567,-0.0181840299679,0.00359778215837,-0.0110725434067,-0.0206456271956,-0.0040285983544,0.00136056338906,-0.0112889390733,-0.0164758228107,0.00423728148056,-0.00938585078712,0.00112914522685,-0.0140722386777,-0.0031308685005,-0.0158808240232,0.00260214670921,-0.0158429391234,0.000125231893574,0.00524212263558
K,0.00931840738659,0.0104676606603,0.0210172238665,-0.00547963918977,0.0148934032496,-0.00136796988234,-0.0052289637058,-0.00107753121012,0.0107116206152,0.00629075573186,0.000968914567639,0.0248653795061,0.00182278909271,0.0107112940589,0.0190227080734,-0.00115786075705,0.00926934630785,0.0208808057324,-7.56077049727e-05,-0.00567719376438,0.00252841422707,-0.00819734226904,0.0099791782785,0.0237503489705,0.0176691655388,0.00153133815339,0.0175018762688,0.0104009132721,0.00746290564474,0.0100827618055,-0.00295637294249,0.00106347566972,-0.0137129111117,0.0167730650184,-4.972691914e-05,-0.00334741332805,0.00623859587029,0.0137956384875,0.00596653388802,-0.00251811190306,0.0189915653467,-0.00439534782145,0.0192337585978,-0.00445947137696,0.00358353249474,-0.0084550354936,0.0110682558488,-0.00065354694326,0.0117414223623,0.0133488593067
L,0.0254595271576,0.026602673795,0.0249151014054,0.0283014434432,0.0243624839921,0.0269656729031,0.0273517031099,0.0274015034795,0.0282209373601,0.0254151530389,0.028975473809,0.0238570507443,0.0276670793448,0.0288926937873,0.0212603186071,0.0269914463854,0.0256985868516,0.0230268387708,0.0295986498607,0.0297396740692,0.0276301232483,0.0297593781532,0.0265937806483,0.0265261517292,0.0228268787523,0.0267573092196,0.0247567928888,0.0228053715898,0.0273857780495,0.0256357211984,0.0256668471555,0.0280760744848,0.0329681708715,0.0255050484484,0.0296101359433,0.0272356853718,0.0251717828565,0.0241935109481,0.0241536834651,0.0294499322666,0.0251671829305,0.0311803860958,0.028675126455,0.0300779874178,0.0263230572749,0.0296059747158,0.0284512739276,0.0249957075958,0.0271876056433,0.026796020937
