,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30,iter31,iter32,iter33,iter34,iter35,iter36,iter37,iter38,iter39,iter40,iter41,iter42,iter43,iter44,iter45,iter46,iter47,iter48,iter49
A,0.00968672470167,0.00818782847833,-0.00313650478208,0.00143169231585,0.00446933541998,-0.00890563280707,-0.0230423999503,-0.00631450282234,-0.00413779369954,-0.00783982537151,-0.00474463715177,-0.0036282145177,-0.00660430549592,-0.00716051176907,0.00802862846495,-0.0184108293342,0.00581698403549,0.00607832680412,0.00655841827518,0.00118503657616,0.00565829924626,0.00421878241666,0.00913355310482,-0.0109492971211,-0.00711139046837,-0.000548379879129,0.002559891139,0.000554139309174,0.00107583534314,0.00761953901204,0.012023496213,-0.0133836787814,0.00157558307852,0.00659026044473,0.00246092298247,-0.00713301130929,4.71743526838e-05,0.00233374039511,-0.00379047755539,-0.00115570656839,0.00440744901408,0.00830150068735,-0.00462175879916,-0.0178085959212,-0.00880011905939,-0.0119236731351,0.0205347770977,0.00317928754395,0.000983856589189,-0.00640968120149
C,-0.00994905905849,-0.00985945188651,-0.0127071149488,-0.00869427522555,-0.0108703799593,-0.00730505314505,-0.011810656157,-0.00973062989119,-0.0094959528973,-0.0111649608558,-0.00984731570327,-0.0111861894669,-0.0110103715755,-0.00913863329292,-0.0113808999272,-0.00945710593542,-0.00961285727474,-0.00864480995811,-0.0101702700232,-0.00908688134263,-0.0100385638334,-0.0123256111267,-0.0106026854103,-0.0107134027986,-0.0111991212397,-0.00915159604006,-0.0104607148939,-0.00986797792423,-0.0112141784572,-0.00986817365921,-0.0112463371163,-0.0113446924964,-0.0113831751247,-0.0102586061691,-0.0128063840047,-0.00969344146596,-0.010328724879,-0.00981547245953,-0.00820848675813,-0.00934466133328,-0.0114008267281,-0.00895715598775,-0.0101813613899,-0.00807940555668,-0.0103284905696,-0.00969882620649,-0.0113739907552,-0.011561111545,-0.0102710488698,-0.00809149183507
D,-0.0188006758176,-0.0162390947423,-0.0181745122114,-0.0183796747491,-0.019423167488,-0.016220875867,-0.0178688453448,-0.0168898308777,-0.0141409053315,-0.0187258026177,-0.0177323816431,-0.0186238329465,-0.0201891595818,-0.0162062521248,-0.0229590862353,-0.0143751424522,-0.0181859224777,-0.0191490116473,-0.0222630064739,-0.0202247589694,-0.0208576806341,-0.0175105646608,-0.0206665113616,-0.0188091775855,-0.0176773968933,-0.0176469309258,-0.0172771525362,-0.0149042761004,-0.0162135736488,-0.0175207962556,-0.0204914623324,-0.0189284353731,-0.021020981391,-0.0197143773759,-0.0221841400615,-0.0167193383949,-0.0174715257918,-0.0219045287227,-0.0195192554642,-0.0165203200085,-0.0196461791983,-0.0194334748195,-0.0168557190523,-0.0192748651337,-0.0179864847128,-0.0155764285635,-0.0207338227129,-0.022053130277,-0.0171932338773,-0.0138961348863
E,0.0197704135928,0.0193894262879,0.0236385850808,0.0229655078983,0.0207784940705,0.0151410780171,0.0170922934074,0.0204427343684,0.0192696449797,0.0190987780719,0.0283123295313,0.0226065482248,0.0261467417994,0.0191866768598,0.0113328420523,0.0226236137577,0.0124591892788,0.0288680657089,0.0138359263474,0.0224778555706,0.0194627884418,0.0205042589797,0.0151230487931,0.0178296120629,0.018018046719,0.0190510543717,0.0185067732705,0.0185604937671,0.0243156809861,0.0123153157944,0.0158711720055,0.0166667051429,0.0111312173573,0.0111584671567,0.0123811958921,0.0198203964528,0.0216939729598,0.0233363433383,0.0188272332698,0.0210148576779,0.0244955052423,0.0204075726974,0.0212620722173,0.020496770625,0.0246366866313,0.0259274106844,0.015443413958,0.0179280220553,0.0185807326497,0.0128852217167
F,-0.00382432237574,-0.00106320173087,-0.00130915272988,-0.00168922331066,-0.00416656441875,-0.00231157573266,-0.00109825009859,-0.00189489684979,-0.00328818385052,-0.00162978720109,0.00033811898327,8.22252202878e-05,0.000971182129889,-0.0019657232892,-0.000899256566264,-0.000620499126059,-0.00301933009188,-0.00414845872494,-0.00221488716563,0.000138528832108,-0.0017386155592,-0.00192923859046,-0.00222270171861,0.000927460908037,0.000269603673166,-0.00367150602349,-0.00432340401146,-0.0032161978769,-0.00253100623455,-0.00191087453419,-0.00417693747341,-0.00120977021496,-0.00292658964595,-0.00313261926458,-0.000121089980859,-0.00243421431617,-0.00277430396717,-0.00121974391764,0.00204622107664,-0.00250902158733,0.000370353866865,-0.00274319845661,0.00059544049734,-0.000560112210566,-0.000214473172476,-0.00308587414621,-0.00343400943384,-0.00102830398608,-0.00188231683979,-0.00322260715492
G,-0.00132293908242,-0.00431113509811,-0.00348646078399,-0.00574488037802,-0.000579948884516,-0.0120737343243,-0.016056537783,-0.011250320183,-0.00643893342925,-0.0063541132797,-0.00770373973187,-0.00586410348147,-0.00614105090484,-0.00598744166234,-0.00330552886766,-0.0151349269748,-0.00568638559675,-0.00285023269462,-0.0041665068142,-0.00603129513595,-0.00431776198513,-0.00230814704671,-0.00279823187859,-0.00918149126415,-0.0121921670541,-0.00390109818333,-0.00439477128015,-0.00552299874085,-0.00223829493296,-0.00523315193663,-7.87339967027e-05,-0.010924360409,-0.00468605661636,-0.00646312407401,-0.0101264539677,-0.0113631949115,-0.0064407252051,-0.00666305709989,-0.0109689542644,-0.00476175296312,-0.00349518748887,-0.000964654213395,-0.00755366575699,-0.0134294951112,-0.00710598390517,-0.00710854536478,0.00278713540662,-0.00581595186593,-0.00444774854836,-0.00881393354073
H,-0.00265544602236,-0.00214080342718,-0.00322351291618,-0.00207520964204,-0.00166803850962,-0.00435335671973,-0.00359764580501,-0.00371812792299,-0.00148131308926,-0.00344350155011,-0.00538665642393,-0.00255456882101,-0.00252593892068,-0.00397515197869,-0.00180018264948,-0.00498030035334,-0.00216945616285,-0.000308568365639,-0.00294801458052,-0.00267964215308,-0.00508427908986,-0.00381359712818,-0.00290151348698,-0.00412371968525,-0.00283726177098,-0.00210595668547,-0.00470278276975,-0.00355322195176,-0.00395130054257,-0.00247231371829,-0.00348770859471,-0.00249238345732,-0.00375555707676,-0.00275426752771,-0.00205897393875,-0.00389414587709,-0.00309841277234,-0.00383240323611,-0.00489887486526,-0.00479097088056,-0.00246063529682,-0.00404390605936,-0.00340179483831,-0.00542901173418,-0.00294314697304,-0.00457137635275,-0.00210727090842,-0.00295634618696,-0.00343074795347,-0.00492902819152
I,-0.00996258505362,-0.0111470709978,-0.00306794991619,-0.00152147644741,-0.0033393135107,0.00701758228411,0.0155556261521,0.000741262235272,-0.0013735170475,0.00250164352281,0.00577798860342,0.000282833242783,0.00526434910493,-0.00159452195304,-0.00650540783872,0.0161715393106,0.00160182984013,-0.0129901321954,-0.00557777146074,-0.0031295872078,-0.0113741061812,-0.0102821032473,-0.00917350636688,0.00111304544369,6.75997562351e-06,-0.00520149300617,0.00654906670359,-0.00569960508656,-0.00417269178705,-0.00250396157817,-0.00775034863723,0.00717332001459,-0.00432320456047,-0.00224176774375,-0.00146759123655,0.00251432726986,-0.00260507801845,-0.00653089393962,-0.00159052565557,-0.00318124019575,-0.00879974785249,-0.0124941279483,-0.0079700014959,0.0121629987687,0.0004476668262,0.00188449423218,-0.0174942826886,-0.00265172874701,-0.00155828848551,0.00624517680523
K,0.00133308169271,0.0017665693108,0.00433725700771,0.0135319510077,-0.00233658528778,0.0256751893639,0.0271200484881,0.018807613576,0.00406833042966,0.015948976685,0.0204753199063,0.0047155304519,0.0135151569098,0.0108475082645,-0.00218588156329,0.0291117044463,0.00428458665232,-0.00437070341747,0.00291218749231,0.0151967435246,0.0122629034357,-0.00531060290456,-0.0123172609482,0.0151277212495,0.00960190216201,-0.00440190125846,0.00730872122825,-0.000367486053532,0.00167508015909,0.00360752585835,-0.00715701537782,0.0165623301175,-0.00140366768221,0.00511335894211,0.00304784302426,0.0126213349957,0.00769048466864,0.00813729690974,0.0193688839699,0.0120916706082,-0.00259941566705,-0.00403771897583,0.0111455894815,0.0249638730858,0.0264085682479,0.0132386506017,-0.00881741218779,0.0109985087517,0.00706854001753,0.0095097608465
L,0.0196646651764,0.0187974663979,0.0252171799173,0.0156750702049,0.0189256871767,0.0125895218631,0.0187645434287,0.0193173555804,0.0194470766329,0.0143357936648,0.0148774560763,0.025362083169,0.0212547260005,0.0170909438969,0.0231886496336,0.0108241226964,0.0189550371167,0.0261008809108,0.021754870196,0.0219442535961,0.0189013138896,0.0219232884619,0.0304741872047,0.0177705823127,0.022842230041,0.024894379635,0.0190876370534,0.0178929338469,0.0188731841151,0.0191114549606,0.02650055094,0.0258626610911,0.0269652543719,0.0179601787845,0.0260761640882,0.0184034189163,0.0175106443686,0.0268557926283,0.0200362242899,0.0170775250958,0.0222341448748,0.0235394097029,0.019041641143,0.0192890527286,0.00921414401488,0.0195860176954,0.0289023505475,0.0207618327341,0.0202159521146,0.0186494073715
