,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30,iter31,iter32,iter33,iter34,iter35,iter36,iter37,iter38,iter39,iter40,iter41,iter42,iter43,iter44,iter45,iter46,iter47,iter48,iter49,iter50,iter51,iter52,iter53,iter54,iter55,iter56,iter57,iter58,iter59,iter60,iter61,iter62,iter63,iter64,iter65,iter66,iter67,iter68,iter69,iter70,iter71,iter72,iter73,iter74,iter75,iter76,iter77,iter78,iter79,iter80,iter81,iter82,iter83,iter84,iter85,iter86,iter87,iter88,iter89,iter90,iter91,iter92,iter93,iter94,iter95,iter96,iter97,iter98,iter99
A,-0.00243133239739,7.09711593319e-05,-0.00210088865259,-0.00404143513898,-0.00503119267565,-0.00235512412664,-0.00353338731672,-0.00110686989469,-0.00198754973689,-0.00128852288894,-0.00172969085403,0.000371097018343,-0.00265636570405,-0.00216644157866,-0.000152844313122,-0.000991283896169,-0.00278968756829,-0.000190128354291,-0.00204166097583,-0.00606519640061,-0.000729903715624,-0.00413055338442,-0.00150143166016,-0.001340735792,-0.00358214747704,-0.00103710019046,-0.00532939409795,8.08437971346e-05,-0.00473263869351,-0.00338645610976,-0.00139929517553,-0.00153885762243,-0.00166932940828,-0.00125425687261,-0.00389498546477,-0.00413227495248,0.00129898908055,0.00063616481142,-0.00259656784487,-0.00374176737993,-0.000691367403338,-0.00217357819875,0.000518061911044,-0.00107201506803,0.000217391746078,-0.00366605646285,-0.00285514503361,-0.00117342661526,-0.00258061990997,-0.00345357901323,-0.00240453119695,0.000836168955373,-0.00425605608629,-0.00301556661837,0.000114612100362,-0.00416935503963,-0.00182386965021,-0.00318806866158,-0.00278961037932,-0.000669072782882,-0.00553880077529,-0.00344357113339,-0.00419075751558,-0.00284855465674,-0.000249436085014,0.00131552201122,-0.000428996890916,-0.00361469159065,-0.0040039330984,-0.000327025287483,-0.000907087189504,-0.00195410526709,-0.0017622243745,2.65169082539e-06,-0.00210790295297,-0.00182940778365,-0.00300940756601,0.0014749157323,-0.000212703524119,-0.00271004348398,-0.00293966740784,-0.000100312236025,-0.00242581011413,0.000654016436708,-0.00412552541774,-0.00363913462204,0.000359665892995,0.00104543077358,-0.00681153748956,0.000174185273104,-0.001512305127,-0.00245229609306,-0.00261158905142,-0.00182815899782,-0.00492579080264,-0.00181149171631,-0.00208620802213,-0.00129174842654,-0.00147472983926,-0.00137768047226
C,-0.010563064098,-0.00908515738951,-0.00935808329276,-0.0093764161357,-0.00935059044671,-0.00820309088989,-0.0108688070432,-0.0068550823607,-0.00936298744837,-0.0103625590784,-0.0102184097927,-0.0106179783211,-0.00852368160468,-0.00955340939169,-0.00946059774365,-0.00991901418017,-0.00925590713185,-0.00962012248268,-0.00948929128987,-0.0096965889208,-0.00937185152334,-0.00982753645916,-0.00881666948966,-0.00815197116725,-0.00840736545951,-0.0102277742438,-0.00997164677246,-0.0101751335243,-0.0106587438992,-0.00949520791163,-0.00999370334034,-0.00931690650048,-0.0112048617605,-0.0101852974031,-0.00992943889897,-0.0107824255688,-0.0107984121359,-0.00973130213818,-0.00974013222878,-0.0106138025682,-0.00967968589964,-0.0103621141232,-0.00992376494906,-0.0104240154317,-0.0100675992654,-0.00751830649451,-0.00870776038759,-0.00996808567049,-0.00753545712489,-0.00847960525541,-0.00931037177266,-0.0101122520378,-0.00948526695339,-0.0100586831416,-0.00989160388284,-0.00935589655756,-0.00846970213471,-0.0107776399096,-0.00949326419192,-0.00874968976163,-0.0106415155168,-0.00946590182134,-0.00956507826739,-0.010241206998,-0.0104288738425,-0.00972441250451,-0.00904568383137,-0.00958349511892,-0.00742856039826,-0.00935347357999,-0.00989844718409,-0.0094534147697,-0.0090766078736,-0.00958941205343,-0.00914642137808,-0.0093796218689,-0.00914845832331,-0.0111438953816,-0.0104699140401,-0.0103563393716,-0.00953937548086,-0.00866420230425,-0.00719235346622,-0.00865036096237,-0.0108585542754,-0.00900108174693,-0.00969096615013,-0.0105932442582,-0.0100240725454,-0.0100949202983,-0.00868595681911,-0.00878870944258,-0.0108210694069,-0.0109673554136,-0.0100844517021,-0.00916237599506,-0.0086311330669,-0.0102880437981,-0.00906683684225,-0.0101121174101
D,-0.0230807785852,-0.0213934504469,-0.0227496117714,-0.0223004598903,-0.0222839186388,-0.0226515001961,-0.0213208008583,-0.0247171309216,-0.0197431598053,-0.0217037647016,-0.0229949174712,-0.0220387679406,-0.0245551115605,-0.0238839770393,-0.0224721029497,-0.0242468650422,-0.0247461308967,-0.0217446101739,-0.0224870892362,-0.021287143214,-0.0215771368549,-0.021819702031,-0.0215497068645,-0.0219645598256,-0.0178178913228,-0.0218436464814,-0.0215776324388,-0.0215429160286,-0.0221565546886,-0.0239214136149,-0.0233701863338,-0.0206808036946,-0.0200396406587,-0.0228805068179,-0.0220633269505,-0.0215733963497,-0.0234474163646,-0.0208531743424,-0.0222605356421,-0.0198556508276,-0.0212553188459,-0.0227561800103,-0.0232546932435,-0.0220419850282,-0.0223690050881,-0.0193245509799,-0.0226456001636,-0.0207110100506,-0.0228728231011,-0.0228611440311,-0.0220212311093,-0.0227180621267,-0.0201753578169,-0.0208203810298,-0.0237302649294,-0.0223034699888,-0.0221656895046,-0.0220736252325,-0.0198621056765,-0.023562910391,-0.022054384759,-0.0199801433854,-0.0237382267159,-0.0232890372324,-0.0239104894612,-0.0218608162212,-0.0233016243055,-0.0221014693391,-0.0237437858983,-0.0188358517427,-0.0197966887658,-0.0225760402577,-0.0190772459209,-0.0238341081099,-0.0225474448527,-0.0206184516558,-0.0195871508826,-0.0227871438522,-0.0233072491636,-0.0209978397244,-0.0222001862938,-0.0208912992422,-0.0241782829129,-0.0232396321917,-0.0224587228198,-0.0238450438203,-0.0225529076238,-0.0235216670435,-0.02120254658,-0.0223521633417,-0.0223564238214,-0.0208815796051,-0.0202193593681,-0.0209234446824,-0.0215969822766,-0.0210447633909,-0.0250333875236,-0.0197760545453,-0.0234081637753,-0.0216433478061
E,0.0162699518424,0.0180729831307,0.0185394855119,0.022684940698,0.0178037492186,0.0189216247258,0.021456754677,0.0174489255315,0.0226640939512,0.018531773556,0.0193016390349,0.0187002430254,0.0222131117972,0.019379846678,0.0207995801056,0.018755707069,0.021205306169,0.0219671995386,0.0141425285124,0.0224541742424,0.0172809725164,0.0227793206384,0.0182709381966,0.021361130629,0.0203943360628,0.0192652336748,0.0180155842098,0.0203102512217,0.0196648049155,0.0173331810124,0.0189483721714,0.0211580902026,0.0217766357177,0.0171167023061,0.0189616324107,0.0232957065204,0.0159237788576,0.0212441725757,0.0203041205746,0.0174543426319,0.019664229853,0.0196316410075,0.0196641269805,0.013635222136,0.0185532023828,0.024607013978,0.0212369415878,0.0193445579112,0.0195890910035,0.0181388417566,0.0197648089867,0.0201285036056,0.0199798363799,0.0198200290167,0.0206012781816,0.0195456548032,0.0231133316686,0.0191929711041,0.019134140704,0.0187032715623,0.0202887622143,0.0217510450785,0.0211289210673,0.0180296800564,0.0172301420012,0.0169732051412,0.0178190052698,0.0190201260834,0.0200175397698,0.0210568173412,0.0178355760343,0.0219264612903,0.0183893768979,0.0178173356924,0.0244179189157,0.0204061492568,0.0173299543022,0.0171194524364,0.0189224717008,0.0184683760104,0.0210459627338,0.0241448717442,0.019134449816,0.0180833525219,0.023150970856,0.0221235788975,0.0198647098095,0.0219364375511,0.0205292467369,0.0202770654837,0.018990050197,0.0208963626505,0.0218419355198,0.0200140313972,0.0230186254929,0.0252400579399,0.0184956507658,0.0198987245156,0.0187418408647,0.0221140011395
F,0.0046617482253,0.00195611637715,0.00152661303187,0.00095266377236,0.00285707376657,0.00376892828139,0.00190679665569,0.00274063621031,0.0013808798589,0.00233382160876,0.00143555076017,0.00332737125501,0.00113091801799,0.000722721876754,0.000158157677373,0.00290734555199,0.00419536121081,0.000702563561591,0.00270359364731,0.00283299515108,0.00319715381832,-0.000690844490418,0.00113504902284,0.00252152534218,0.00134804324639,0.00290346734486,0.00353799933693,0.00159019135626,0.00373390162249,0.00459214230956,0.00328245853425,0.000431260066356,8.78954477949e-05,0.00214210807293,0.00130159158603,0.00427509366206,0.00333411474819,0.00210447344388,-0.000300815471697,0.000793480311657,0.00276711186435,0.00271645308865,0.00303935313094,0.00378100315209,0.00235261632145,3.74077788127e-06,0.00175779948848,0.00272200796069,0.00149258200866,0.00186479386027,0.000788252562808,0.0014399471006,0.00357819148898,0.00564040416495,0.00311915564401,0.00267770930311,0.00289272889656,0.00243090658518,0.000204254272961,0.00331296795113,0.00133150319269,0.00186899134242,0.0014266398825,0.00474785857363,0.00442678094135,0.00324538050146,0.00181297455209,0.00353843376003,0.00443010838921,0.00171239861851,0.0026150388676,-5.63407857043e-05,0.00321011820098,0.00210621134346,0.00180830283077,0.00285829735196,0.00352008550648,0.00210437924112,0.00193034450115,0.00453618754719,0.00336033075353,0.000358427308079,0.00322664529529,0.00392195684699,0.00117266508565,0.00308274673522,0.00170178073826,0.00218648361777,0.0031861978833,0.000956435212489,0.00183045391453,0.000861787099961,0.000923545585593,0.00539353588958,0.0026910780106,0.00139204575523,0.00193351368261,0.00163975195563,0.00424706843246,0.00225247285341
G,-0.00203992446285,0.00150404758349,-0.00120827884181,-0.00153292798825,-0.00122245593934,-0.00302499966739,-0.00485184549075,-0.000704340906387,-0.00282749032634,-0.00238679243721,-0.00262718362745,-0.00277642111338,-0.00164523622174,-0.00217870610059,-0.00424269462914,-0.0032201877927,-0.000158241129683,-0.000149315483554,-0.000537118002283,-0.00215937189095,-0.00283623380094,-0.0026511475487,-0.000331187289624,-0.000982565659467,-0.000654150073295,-0.00160988214752,-0.00368939867002,0.00109633208622,-0.00241789777552,-0.00161678384056,-0.00417762029973,8.40648777271e-05,-0.00496711360428,0.00249406085754,-0.00242422141617,-0.00559815227165,0.00481949152045,-0.000443317492758,0.0012069881671,-0.00348679183981,-0.00085730820577,-0.000512362263296,-0.00150804417134,0.00160519733533,-0.00241553127128,-0.00550418291632,-1.15982788894e-05,-0.00239600669043,-0.000918730255752,-0.000289014987401,-0.00238513020526,-0.000295451684941,-0.00140946708622,-0.00208483320295,-0.000959250165157,-0.00180003377712,-0.00119723886409,-0.00281197145063,-0.00212762441958,-0.00342345682679,-0.00157798250942,-0.00282673661457,-0.00169282411861,-0.0014458039171,-0.00205438065638,-0.000960763485499,0.000208176832501,-0.00216137570608,-0.0012030694419,-0.00121294047418,-0.00184325448747,-0.0011695075378,-0.00147274926517,0.000304628209058,-0.00309705561988,-0.00116334841259,-0.000888727077735,0.00329511663178,0.00013894365259,-0.00213111822038,0.000328823505718,-0.00169324221172,-0.00411446424413,-0.00077346868982,-0.00415595290016,-0.0044012249136,-0.00258370911425,-0.00217688218517,-0.00491917017299,-0.000490798983418,0.000656319997391,-0.00304321599827,-0.00210354093265,-0.00274487831108,-0.00454444017855,-0.00386616865344,-0.000710607479509,-0.00211499875496,-0.00407332449813,-0.00315965066927
H,-0.00330961889172,-0.0042595384194,-0.00345540919686,-0.00531684920967,-0.00430226069288,-0.00274299187171,-0.00437542418127,-0.00381605273999,-0.00236031805399,-0.0026967760209,-0.00425432326428,-0.00297503788637,-0.00419679117952,-0.00328581702512,-0.0035467867383,-0.00369150390052,-0.00292628445808,-0.00316396729858,-0.0041812854995,-0.00365122947069,-0.00317523725386,-0.00496630646945,-0.00336941800106,-0.00343093080678,-0.00367889719018,-0.00433791170117,-0.00470365841005,-0.00447628490596,-0.00403303932276,-0.00345704410335,-0.00512286132543,-0.00293337112859,-0.00381890159512,-0.00348656434325,-0.00371358491918,-0.00307611901097,-0.00329967391951,-0.00441654369009,-0.00380506686043,-0.00384872750562,-0.0034856923738,-0.00349546222381,-0.00353412086023,-0.00495585214399,-0.00344009221193,-0.00350186470322,-0.00504821820322,-0.0027343472373,-0.00377822663678,-0.00460675022233,-0.00421730684795,-0.00265231363568,-0.00508295662395,-0.00301575350816,-0.0037077067157,-0.0054215961668,-0.00238596082311,-0.00470378135524,-0.00429700872777,-0.00498206866281,-0.00329742520494,-0.00269170640557,-0.00507247345317,-0.00352893755722,-0.00422649851812,-0.00332621171444,-0.00348882409016,-0.00471869878729,-0.00368007021982,-0.00446742828722,-0.0037666500771,-0.00408051576671,-0.00394161500767,-0.00448238781606,-0.00347824251095,-0.00218752759586,-0.00434585799757,-0.00343700110551,-0.00439790763073,-0.00415932657124,-0.00300805138165,-0.00380076611826,-0.00245571557273,-0.00432362751969,-0.0037262984517,-0.00381409521379,-0.00381792360838,-0.00506001689562,-0.00359190822827,-0.00381592826264,-0.00280305763651,-0.00389740045137,-0.00395232927559,-0.00503280576689,-0.00451595296957,-0.00222996368509,-0.00350270947562,-0.00278248367713,-0.00448277046895,-0.00443387058318
I,0.00276271479754,0.000106542666166,-0.00128250591392,0.00116699595946,0.00415121701516,0.00414617706709,0.000942323097471,0.00559040882929,0.00322342683006,0.00211497193365,0.00358765053538,0.00363852315161,0.00205987575339,0.00248761578987,0.00360421303565,0.00534838669611,0.000485152230718,0.00249407283635,0.00634918305202,0.00144964606068,-0.000323713860106,0.00481183507906,0.000536203288378,0.00343360026311,0.00267502327015,-0.000106964772864,0.005836442705,0.0028021903943,0.00353435315652,0.00225783577911,0.00404880820268,0.000197626240546,0.00367491481836,0.000444196608652,0.00168182583487,0.00175999237301,0.000500689289585,0.000346354367015,0.00377157628175,0.000891373660032,0.0027308631611,0.00238406609591,-0.000164978121651,0.00129271580627,0.00323331293632,0.00010257343276,0.000768819589607,0.00435176114091,0.00485330695729,0.0030637775415,0.000628814798868,1.80931466498e-05,0.00287410923098,0.00316214392488,0.00323082926061,0.00537078941663,0.000281876935011,0.00331951010341,0.00264447398386,0.00322598490347,0.00223484883889,0.00330247490282,0.00764937655847,0.00257256576159,0.00266100944302,0.00149931452732,0.00306219390823,0.002110978967,0.0033318310657,0.00029380156864,0.00426690151613,0.00195268975218,0.00217531851119,0.000245539311409,0.00106875983698,0.00204318224328,0.00315382497807,0.00260770667912,0.00375804664024,0.00357134196987,0.00401720671617,-0.000655433992529,0.000487840833766,0.00168027218393,0.00407271780482,0.00337336497459,0.00347736873342,0.0022031335814,0.00346858956201,0.0021085035899,0.000946188163244,-0.00120051200704,0.00329727846225,0.00152497764345,0.00169359152462,-0.000495648309565,0.00547313827036,0.00263549872784,0.00407597154635,0.00026128139623
K,0.0156728322121,0.0146502634984,0.01568316237,0.0167777410796,0.0178085357021,0.0186043684853,0.019468888805,0.0187797619408,0.0165302855901,0.015618064345,0.0152379981321,0.0167367902991,0.0159711524679,0.014454753332,0.0166912444927,0.0169412039129,0.0197860942581,0.0161030160552,0.0155931637591,0.0166273397622,0.0190391674447,0.0161108911894,0.0146051680846,0.0184880545541,0.0168372346113,0.0161695272066,0.0150968651675,0.013402494777,0.0186612410299,0.0145428124218,0.0169140464428,0.0165130390236,0.0213262870047,0.0134223062828,0.0191618612285,0.0180157607131,0.0093097076027,0.015998564969,0.0148661243789,0.0179157852954,0.0159762665047,0.0152320016854,0.0141225085981,0.0094587232517,0.0123191507738,0.0173695400566,0.0202867692969,0.0156360379685,0.0157915842283,0.0158286794366,0.0168905446266,0.0158196910024,0.0158560859836,0.0154312377587,0.0165002970387,0.0174399940923,0.0173025909283,0.0186173823107,0.0158503133643,0.0166549024008,0.0194877685161,0.0181512436077,0.0183003769345,0.015076024376,0.0151287365742,0.0160303938743,0.0161299395225,0.0170347875029,0.0171335463431,0.0190280247083,0.0162472162174,0.0155229187169,0.0180772733381,0.0155694669685,0.0194166617023,0.0185082092534,0.0163281529688,0.0115839875678,0.0165009557444,0.017344197181,0.0148087449116,0.0162691251722,0.0137968559734,0.0155565309298,0.0178718057678,0.0152480759654,0.0132598134432,0.0181076292398,0.0185039694037,0.0148916035956,0.0155390383276,0.0176813902515,0.0182240885058,0.0151740809395,0.0181296856272,0.0181273969389,0.0152858163958,0.0166516826485,0.0158941435337,0.0191174869381
L,0.023679568821,0.0244694037252,0.0204829699512,0.0240173785989,0.0232486556602,0.0247002151754,0.0238626919025,0.0237999806783,0.0206167975906,0.0209829536262,0.0235394685234,0.0224031516546,0.0244764415194,0.021139583824,0.0242368047448,0.0244842098473,0.0240927638364,0.0232275283986,0.022926037685,0.0236063564064,0.0229285032646,0.0193932891496,0.0200421475439,0.0207309149026,0.021738863569,0.0209023053199,0.0232082040598,0.0223667456774,0.0228381123713,0.026114975255,0.0265329054419,0.0204928464443,0.021779677128,0.0257839801526,0.0188552046548,0.0219447789504,0.0218459778647,0.0213001285799,0.0258060949506,0.0254862852052,0.0233966472259,0.0218643826286,0.0230579575835,0.0247967788058,0.0256484374704,0.0218986768072,0.0222933774394,0.0220152000787,0.023760698306,0.0243954604822,0.0249047637175,0.0251446324524,0.0223359145335,0.0225421103264,0.0261000211414,0.0235173564979,0.0240163629265,0.02380756576,0.0207755923208,0.0238377150807,0.0217776463241,0.020149409041,0.0228453701441,0.0213334347076,0.0255289022686,0.021210335384,0.0223379524083,0.0244190512951,0.0262507473002,0.0208754830325,0.0265201948688,0.0225205423364,0.0270060463002,0.0241336473934,0.0222212098939,0.0215279349613,0.0245857894472,0.0224608897573,0.0230698338481,0.0221170582053,0.0248245663052,0.0201362106276,0.023430019417,0.0239227813863,0.0251166626537,0.0264925582837,0.0192298836642,0.0231447810245,0.0244774311102,0.0212296808783,0.0253235205153,0.0230765771013,0.0203005274921,0.0237271758403,0.0269288331899,0.0258826410774,0.0238575924689,0.0220215280613,0.0259818766229,0.0217666504154
