,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29
A,-0.0554995381609,-0.0538835641446,-0.0539526214095,-0.0557131727842,-0.0528430437154,-0.0548609248489,-0.0524035132401,-0.0526457182782,-0.0542786058371,-0.0555476947469,-0.0564803149356,-0.0544111833364,-0.0554813852534,-0.0534072299372,-0.0528117665654,-0.0561326950593,-0.0542985542232,-0.0546764962445,-0.0550812650788,-0.0535422803116,-0.0542604772066,-0.0576614832684,-0.0568800556713,-0.0518151134757,-0.054233606478,-0.0538631932014,-0.0556462311712,-0.0528323072531,-0.053082629342,-0.0527622429599
C,-0.000843138738801,-0.000636890175006,-0.000720651051287,-0.00088690959461,-0.000489153389976,-0.00046309287617,-0.00100054019855,-0.00042537813583,-0.000932153718632,-0.000193252553196,-0.0012880925108,-0.000706690095797,-0.000586653978352,-0.000259279049151,-0.000657859389753,-0.000752951603113,-0.000643518772716,-0.000772439755223,-0.000522669636347,-0.000618923325281,-0.0011864193272,-8.67498677132e-06,0.00014669944127,-0.000363899026869,-0.000460609159144,-0.000793086815994,-0.000738740658636,-0.000303186231133,2.34699803304e-05,-0.000430756951973
D,-0.0132149604663,-0.0157899474298,-0.0164889027644,-0.0146467474974,-0.0145508202338,-0.0129263427686,-0.0150793199,-0.0142517665377,-0.0144496082128,-0.0141898905126,-0.0139875052391,-0.0144449186006,-0.015222641804,-0.0141686620652,-0.0164322148548,-0.0129543307735,-0.0145981442398,-0.0137026469041,-0.0148258499013,-0.0140900541835,-0.0125293227558,-0.0128745832042,-0.0154682420523,-0.0147862111582,-0.0141604982301,-0.0144437707015,-0.0142718562968,-0.0151306691385,-0.0148077395839,-0.0156258353839
E,0.0402267608695,0.0395757536401,0.0390104181268,0.040712238775,0.0370103482501,0.0408235941488,0.0402708887983,0.0393764999317,0.0381898738603,0.0389867249908,0.0372943684987,0.040250591285,0.036455114032,0.0419364433274,0.039126384884,0.0391825935491,0.0387362356072,0.0407739532902,0.0388156431582,0.0413908159674,0.0404508052404,0.0397521901587,0.0395523056856,0.0420246868272,0.0410121299121,0.0403964913899,0.0400652701155,0.0373049916883,0.0396022800974,0.0417125916913
F,0.01200377786,0.0117221201933,0.0110915255516,0.0126392232034,0.0124574192082,0.0110111385737,0.0108873421646,0.011885770923,0.0119328325456,0.0127804445739,0.0127662423665,0.0125092479356,0.0132854367246,0.0117272699029,0.0130135070049,0.0122966953827,0.0124875185397,0.0114678169371,0.0115586261317,0.0116685330068,0.0119724498108,0.0118392896501,0.0128005496828,0.0122906344002,0.0115342638454,0.013559543499,0.0121924083104,0.0133548932498,0.0119826064447,0.0120298310914
G,-0.012133770605,-0.0106203985042,-0.00961578845151,-0.0108271850573,-0.00799191432821,-0.00904065274125,-0.00855724825627,-0.00996408028347,-0.00861115313892,-0.00914897297448,-0.00719700529327,-0.00987240344117,-0.00755028101623,-0.0117109626977,-0.00894643415175,-0.00763155241041,-0.00896282803108,-0.0103786784151,-0.0096422332156,-0.00946290826611,-0.00898840342952,-0.010057426899,-0.0113627560402,-0.00912627356135,-0.0104725860333,-0.00857060136676,-0.00909197628678,-0.00882619387452,-0.0076266915318,-0.0110030623783
H,-0.0099775274896,-0.0106031541088,-0.00912907841553,-0.0107050404024,-0.00933672741478,-0.00931476912378,-0.00997337453656,-0.00952881312065,-0.00989572315828,-0.00977864884212,-0.0109098291231,-0.0105695079177,-0.0104576921746,-0.00883296747039,-0.00961596631023,-0.00986195033984,-0.00975895973439,-0.00985269004886,-0.00983881715977,-0.00883307236943,-0.010013268419,-0.00964398448704,-0.00958607789291,-0.00828373351097,-0.00944247394049,-0.00995704223759,-0.0106951065733,-0.00950737975213,-0.010547989805,-0.00967327775377
I,0.0316952316884,0.0327251887866,0.0339259641842,0.0323894461385,0.0329020972439,0.0306393074072,0.0316411625993,0.0308641888395,0.0331149236969,0.0322790282104,0.0313562662146,0.0305915715602,0.0328185633475,0.028404024927,0.0333791176645,0.0310540825794,0.0313097864864,0.0313450089982,0.0319474678807,0.0300660904308,0.0292996582061,0.0304877304228,0.0311492530891,0.0286484257775,0.0289782463463,0.0311779205947,0.0296080767616,0.0302674821226,0.0324933818162,0.0296234811436
K,0.0520909534411,0.0518335521429,0.0512907013714,0.0520254248121,0.0482055892845,0.0518491231907,0.0515817321164,0.0506257873891,0.051134491208,0.0515438971409,0.0504676200153,0.0508004844707,0.0510517643576,0.0510488241594,0.0510351118169,0.052708081161,0.0487109193396,0.0516988122351,0.0535773679593,0.0508300853215,0.0523513270123,0.0526006599157,0.0527737526372,0.0514455936721,0.0529401824842,0.0517145389747,0.0508456948387,0.0516280845594,0.0496416184298,0.0527331678872
L,0.00109425622265,0.00209259880874,0.0047164897591,0.00366489644293,0.00190629166891,0.000907486471598,0.000913152006421,0.00195356076575,0.000748581368781,0.00108408139755,0.00149155466177,0.00106896714308,0.00227357717574,0.0024403210648,0.00321195121872,0.00161666411321,0.00283693888082,0.00161363007295,-0.000790749387623,0.000726482337007,-0.000522749500697,-0.00112731528169,0.00153752851428,0.00128479919584,0.000722228748114,0.00312103115205,0.00171082613885,0.00327930123298,0.000853338618404,0.00261726268998
