,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24
A,-0.0495260018811,-0.0449913997822,-0.0563049961175,-0.0486282105525,-0.0453176670395,-0.0540807545779,-0.0668788472829,-0.0454133861399,-0.0524050086704,-0.0655734573721,-0.0452504732391,-0.0729135083076,-0.054450205794,-0.0474086417205,-0.057303697602,-0.0431918902288,-0.0605851900993,-0.0371704717107,-0.046705292744,-0.0508342846141,-0.0482622906628,-0.0634782392136,-0.0647243612863,-0.049418616955,-0.0580511326842
C,0.00346527859799,0.00166830323975,0.00341575969975,0.00367050435169,0.00738234327195,0.00553881781709,0.00305242483968,0.00224447809314,0.00110016899629,0.00426193721635,0.00286521782116,0.00211943553794,0.00225143608177,0.0049513947912,0.00497784959425,0.00173965238488,0.00342546847471,0.00382843829978,0.00217826809864,0.00524217339046,0.00260308952849,0.00158949122434,0.00708008564311,0.00396209559772,0.0045124016395
D,-0.0180571621085,-0.0225627896123,-0.0168725134251,-0.0119076642141,-0.0169254814834,-0.0184011096748,-0.0181725906252,-0.0161080200427,-0.0265196159265,-0.0160827712267,-0.0154313978905,-0.0192904045449,-0.0194611191787,-0.0191585335223,-0.0130692522475,-0.017381585935,-0.0143728083274,-0.0161319049442,-0.0186178897916,-0.0206215409954,-0.0220376851044,-0.0172511120536,-0.0234656626178,-0.0179227988582,-0.0148576198066
E,0.0271945130137,0.0366553425193,0.0384775953359,0.0338497305985,0.0320602955804,0.0389614395154,0.0336401991856,0.0322489905314,0.0378490076886,0.0293615688748,0.0300698906021,0.0376832766901,0.0384913104491,0.033694487826,0.024913771157,0.0350609387775,0.0300133577658,0.0340937998199,0.035903984747,0.0391125088433,0.0342705990123,0.0418948996327,0.0347153165866,0.0313777278347,0.0392209308847
F,0.0114887625729,0.00639761992966,0.005640568454,0.00742889372512,0.00496104256146,0.00830134596102,0.0150388798242,0.00689219906835,0.0123853296126,0.012229768816,0.007734405937,0.0168923816243,0.0112440818732,0.00683562187132,0.0114276060162,0.00711211167861,0.0143321263832,0.00293023540086,0.00575712742674,0.00766928276345,0.00822921840778,0.013231133228,0.0151319140238,0.0120140077316,0.00841946012665
G,-0.0206187160966,-0.0151598494961,-0.0218885517058,-0.0206381329587,-0.0167128018223,-0.0208653507125,-0.0289568798315,-0.0170020921976,-0.0193879231821,-0.0289996862836,-0.0169467150839,-0.0274426957759,-0.0217434989774,-0.0160481656899,-0.0278176904843,-0.0171156991825,-0.0258351518749,-0.0099743616903,-0.015850223883,-0.0212318344591,-0.0179581883059,-0.0212554711781,-0.0296516405296,-0.0197456723156,-0.0222937100034
H,-0.00555448289595,-0.00424296282284,-0.00413944881294,-0.00457646712963,-0.0028871789312,-0.00438604896559,-0.00632812719801,-0.00521641741441,-0.00700913730378,-0.00580683004201,-0.00376422098095,-0.0067861319802,-0.00505594285268,-0.00271198377279,-0.00480131417074,-0.00271632522367,-0.00742670931866,-0.00293810757084,-0.0032313724917,-0.00384324466083,-0.00350707505293,-0.00656927765213,-0.0037800215401,-0.00350197207452,-0.00509188587997
I,0.0301943347309,0.0270853999424,0.0326559472531,0.0269165480991,0.0290780232829,0.0299335970282,0.0457171000443,0.0281685225492,0.0267860188973,0.0427450529208,0.0298122245437,0.0460855968636,0.0327393330043,0.021455049522,0.035485091423,0.0289528723608,0.0407935714456,0.0165659437927,0.0293519071466,0.0311200226881,0.0240311232596,0.0383866773371,0.042151727381,0.0317202896744,0.027841500491
K,0.0333509673567,0.0274950706209,0.0367106660035,0.0408435137475,0.0399514835959,0.0455505881788,0.0636893409678,0.030540091114,0.0406809727354,0.0581783871744,0.0299091080243,0.0637338809996,0.0483666049927,0.0314211703175,0.0477560523543,0.0429000117947,0.0508446892941,0.0108858346146,0.025790687285,0.0432035770657,0.0361075464352,0.0489259655965,0.0551161321934,0.0403690997319,0.0398944384209
L,0.0166597660695,0.0240580921851,0.0141803117814,0.00261320733006,0.00571251213327,0.011005117497,0.00634360082247,0.0127241392483,0.0253027333871,0.00176970123751,0.0135163849208,0.0116904373952,0.0120211594439,0.01451751095,0.00469995928662,0.00372556985898,0.0139433160033,0.013531091672,0.0185211316423,0.0106603526237,0.0165549905292,0.00786797249845,0.0115919871816,0.00818140522554,0.00876567530561
M,-0.00787420189391,-0.00665522228308,-0.00602764199378,-0.00374562982658,-0.000846680001357,-0.00350620286462,-0.00568516230086,-0.00435690807979,-0.00720913468718,-0.00449017138055,-0.00377749900822,-0.00525371810151,-0.00513961158966,-0.00243468449529,-0.00391367324172,-0.00198300992719,-0.00646184298264,-0.00546279061858,-0.00905410449598,-0.00531211659434,-0.00611060888747,-0.00469757651877,-0.00530466363952,-0.00378317693918,-0.00721317045911
