,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30,iter31,iter32,iter33,iter34,iter35,iter36,iter37,iter38,iter39,iter40,iter41,iter42,iter43,iter44,iter45,iter46,iter47,iter48,iter49
A,-0.0426075839781,-0.0423173415222,-0.0428912353435,-0.0462817003779,-0.054375565432,-0.0611222666171,-0.0494215334677,-0.0582187039357,-0.0731812433011,-0.0595410723224,-0.0547736505968,-0.0477515346795,-0.0578920486946,-0.0531178292728,-0.0606054114445,-0.0435001251968,-0.063087786231,-0.0581025817553,-0.0389821888797,-0.0637354187823,-0.0422247454917,-0.0488808924733,-0.0505185494186,-0.0488467654972,-0.0628062005545,-0.0600266533853,-0.0597650334433,-0.0405864716285,-0.0489337383969,-0.0575787052926,-0.0464478904728,-0.04705676283,-0.061542543534,-0.0713954119916,-0.0409169530167,-0.0533360705461,-0.0447319306587,-0.0531923396239,-0.053481305274,-0.0371416806978,-0.0626921947258,-0.0674950493996,-0.0543663829792,-0.0630699198715,-0.0555947257174,-0.0530193058733,-0.0592367383208,-0.0393437907136,-0.0500858996252,-0.0523090003188
C,0.00406974670236,0.000239587807094,0.00307044739707,0.00157802701965,0.00464428143937,0.00313522675765,0.00345025946304,0.00264225042861,0.00455114377086,0.00455496407999,0.00754259563207,0.00242245378469,0.00457722767574,0.00240864913497,0.0029786343603,0.00192873668249,0.00336406925477,0.00471360441119,0.00368925043027,0.00428890112111,0.000979044575029,0.00229712452802,0.00361123898042,0.0020890653688,0.00421636977983,0.00479030865383,0.00330970726248,0.00241236658326,0.00251656182471,0.000534629077785,0.00263242910371,0.00296326397373,0.00410077403809,0.00352984689171,0.00171681241825,0.00388245076662,0.00617303908456,0.00382051428939,0.0014859974544,0.00162907102827,0.00451762367672,0.00495019866946,0.00228834738992,0.00551394016078,0.00200842071497,0.00155876203126,0.00426524213328,0.00211986261786,0.00421648521408,0.0065119570925
D,-0.0214200460485,-0.0240345061441,-0.0190920934151,-0.0174273560806,-0.0183544575666,-0.0204236058328,-0.0210612329943,-0.0142270803995,-0.0137677495159,-0.0165936434438,-0.0206942161971,-0.0157987313097,-0.0185886018404,-0.018356733865,-0.0191042560289,-0.0167673004723,-0.0173858793164,-0.0157790106174,-0.0202036673282,-0.0155807239625,-0.0150213790268,-0.0148869264385,-0.0186406060254,-0.0164007767433,-0.018427322351,-0.0170881563449,-0.0134326725707,-0.017697950122,-0.0206166586194,-0.0161061006353,-0.0201464509861,-0.0147038455952,-0.012759311262,-0.0175237888709,-0.0161393984471,-0.0164275198193,-0.0200651616957,-0.020185626726,-0.0172549028912,-0.0166869429762,-0.0168825513627,-0.0194991088536,-0.0165537550366,-0.0167959745262,-0.0192741786874,-0.0161316527734,-0.019686630141,-0.0179868498024,-0.0163032665939,-0.0181832695068
E,0.0344970486126,0.0397132516349,0.0362406812641,0.0309051125956,0.0358939106617,0.0377054283346,0.0365122369746,0.0369620010581,0.038469545608,0.0330784551025,0.0334670330386,0.0329516792732,0.0382415499289,0.040715911556,0.041528536,0.0364645390953,0.0333155761027,0.0362008158471,0.0373692105749,0.038740848536,0.0324132112312,0.0382730655495,0.0288485152065,0.0300540490123,0.037180219902,0.0369661563213,0.0383757617623,0.0375373836328,0.0322150884565,0.0361036139354,0.0336254799216,0.0343788733321,0.0412363486177,0.0361095530251,0.0308915218552,0.0316174104208,0.036733394841,0.0344168598333,0.0351868215198,0.0319646600337,0.0405723776617,0.0368968269396,0.0409920132143,0.0370157203712,0.0401806625052,0.0356815510613,0.0357728421201,0.0340215080006,0.0338361389473,0.037400940024
F,0.00763063491811,0.00769370863349,0.00648916047319,0.00719286097187,0.00988452976205,0.0116459268838,0.0111367769356,0.011013546424,0.0136280550403,0.0149087404052,0.00929839871842,0.00652080095117,0.0093271744146,0.00652386411946,0.0117141612526,0.00447760053664,0.0146111647799,0.0120913190772,0.00297110182553,0.0113157221201,0.00745931514164,0.00777198424817,0.0101096856329,0.0103448835359,0.0108782249534,0.0103786004898,0.0103221105295,0.00582861487542,0.00865381407839,0.0118616596545,0.00789857062086,0.00668187990436,0.00796997496544,0.0141326094726,0.00438845401532,0.0114469465669,0.00900250947232,0.0124775813589,0.00787185830899,0.00408571898372,0.0105813970021,0.012009456648,0.00746856535297,0.00895106021476,0.00906633229542,0.0118467049899,0.0116933302806,0.00531162825532,0.00908523449488,0.0077575888476
G,-0.0163625223657,-0.0154070186174,-0.0188478661875,-0.023163753368,-0.022323385437,-0.0268540393599,-0.0219257311707,-0.0243625626824,-0.0314729182676,-0.0203670117795,-0.0195029033723,-0.0208840398341,-0.0212534583596,-0.016127047843,-0.0237109761169,-0.0139689312551,-0.0276146778731,-0.0256023207555,-0.0125406039056,-0.0259502222172,-0.0161763146316,-0.0204081717678,-0.0185449869927,-0.0198455533994,-0.0261406640285,-0.0248332236857,-0.024710759194,-0.0138004971529,-0.0202178211425,-0.0228950046484,-0.0193811176609,-0.016460172832,-0.0205368494262,-0.0239905208749,-0.0166736504735,-0.0235503614955,-0.0186612269308,-0.027575912004,-0.0176385455396,-0.0143887189388,-0.0232533937056,-0.0222116023906,-0.0222986986823,-0.027328082035,-0.0202221954326,-0.0226002936344,-0.0268204984325,-0.0176673323435,-0.0236939227781,-0.0175329578051
H,-0.0038022792638,-0.00412256391885,-0.00173421864604,-0.00358918333193,-0.00567147758199,-0.00547451960639,-0.00277533781542,-0.00472146977635,-0.00615098800486,-0.00552623630217,-0.00709368251682,-0.00405786645504,-0.00440029848814,-0.00330949164647,-0.00670880749544,-0.00268362884988,-0.00659617190151,-0.00547682327626,-0.00289927623323,-0.00616854690695,-0.00266154294704,-0.00394973591862,-0.00420154804508,-0.00522513436877,-0.00627071993987,-0.00392184823746,-0.00572950606954,-0.00174505252081,-0.00265653907228,-0.00596496629393,-0.00396124524007,-0.00460497852606,-0.00639178419214,-0.00690220640609,-0.00295902437835,-0.00637771258282,-0.00345007850255,-0.00546805019341,-0.00397584829963,-0.002960057642,-0.00609106556468,-0.00564062499423,-0.00485191079482,-0.00566422974495,-0.00326271226395,-0.00485264696566,-0.00584943966274,-0.00404516197986,-0.00409186200577,-0.00372741962105
I,0.0247627072562,0.0166678024118,0.0242970563711,0.0272176722575,0.0349395256917,0.0394561943028,0.0295456041147,0.0376790568669,0.0455619340703,0.0338202723222,0.0375281083645,0.0264688925244,0.0359792528274,0.0311009987312,0.0393488571307,0.0265660144074,0.0404104765241,0.0343680297465,0.0208153072568,0.0432550820768,0.0254787670377,0.0295841575621,0.0366536054642,0.0324762446313,0.0387631519245,0.0387368630195,0.0364246895914,0.0232502330378,0.0291465805794,0.0374750858416,0.0333652675138,0.0240210516581,0.0336147318502,0.044454078277,0.0246210578608,0.0357668076274,0.0267904862411,0.0379295961374,0.0296027069674,0.019286040149,0.0372330081735,0.0373856847752,0.0329104202805,0.0446266218541,0.0305519566389,0.0323332612037,0.0368022426291,0.0272179218037,0.0295963415876,0.0284074233383
K,0.0318548736599,0.0300542320594,0.0309378110565,0.0368631856049,0.0469696062279,0.0545161213786,0.0418305580193,0.0550812996009,0.0645881724923,0.0460051053958,0.0533095855913,0.0370672992205,0.0492369280075,0.0415103895936,0.0508927516,0.0332030887109,0.056881124846,0.0567654070037,0.0252042587483,0.0551198074235,0.0248559112901,0.0447517768643,0.0352016162628,0.0409879000386,0.0482065064744,0.0446483316449,0.051842952187,0.0266115216022,0.0430378501532,0.0479841198328,0.0308909193673,0.0311130157712,0.0467826727131,0.0579718115879,0.0342509846881,0.0462285068376,0.0325464847653,0.0474060386572,0.0423444201841,0.0254264328501,0.0567884281448,0.0459106634673,0.0503511673973,0.0597538096451,0.0408385081483,0.0481861373522,0.0566520045676,0.0364112315344,0.0451766492827,0.0372199657762
L,0.0143660238142,0.0253750691052,0.0154799706515,0.0160466234629,0.0105624050319,0.011248116003,0.0176614520199,0.0018698152432,0.00709102080427,0.00662579401702,0.0100050972732,0.0134211080326,0.00828263512119,0.0113519775631,0.0108804830182,0.0119045901146,0.00420032588545,0.00424439282245,0.0138515450172,0.00662443091367,0.00902747635628,0.00984861170324,0.0112323625501,0.0103787021952,0.0147846001171,0.0124446771972,0.00777723629466,0.0122904373964,0.0118371293248,0.00870142497503,0.0177738273338,0.00599161635297,0.00275671563744,0.00561157020072,0.0068459492167,0.0141939742524,0.0112569353854,0.0160448976884,0.0113275362054,0.008499086774,0.00339289824436,0.0118914933545,0.00815244153787,0.00625954268757,0.00824001000268,0.00972595942804,0.0115702636259,0.0119340481306,0.0114537992178,0.0077038210278
