,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30,iter31,iter32,iter33,iter34,iter35,iter36,iter37,iter38,iter39,iter40,iter41,iter42,iter43,iter44,iter45,iter46,iter47,iter48,iter49,iter50,iter51,iter52,iter53,iter54,iter55,iter56,iter57,iter58,iter59,iter60,iter61,iter62,iter63,iter64,iter65,iter66,iter67,iter68,iter69,iter70,iter71,iter72,iter73,iter74,iter75,iter76,iter77,iter78,iter79,iter80,iter81,iter82,iter83,iter84,iter85,iter86,iter87,iter88,iter89,iter90,iter91,iter92,iter93,iter94,iter95,iter96,iter97,iter98,iter99
A,-0.0472428630098,-0.0490859558579,-0.0495580878713,-0.046363722356,-0.0447788464054,-0.0483404032852,-0.0452171834695,-0.0454805575117,-0.0468626046478,-0.0426789265523,-0.0450112361692,-0.0438372731503,-0.0446516920287,-0.0472169642294,-0.0406343588772,-0.0473813711065,-0.0415370934795,-0.0460177973958,-0.0426651040941,-0.0460293542312,-0.0429322195529,-0.045249516321,-0.041495282484,-0.0440424219652,-0.0488584490515,-0.0452841143712,-0.0481330605815,-0.0493646621726,-0.0447474950466,-0.0462784228913,-0.0461407808101,-0.0452942576312,-0.0502142170632,-0.0487907454056,-0.0475323291017,-0.0470871480924,-0.044495197734,-0.0455112719325,-0.0462319961704,-0.0420145439156,-0.0450482085841,-0.0467834470693,-0.0456774094073,-0.0465861597235,-0.0457572178815,-0.0426964223245,-0.0470964668765,-0.0423733535582,-0.0459534086852,-0.044314805844,-0.049577187963,-0.0466841549687,-0.0481196687177,-0.0442630257381,-0.0445837155556,-0.0468784900092,-0.0479616145282,-0.0441547709337,-0.0474616051434,-0.0489035516753,-0.0445264531478,-0.0470378811926,-0.0496247684571,-0.0465794700589,-0.0460150840261,-0.0480177904401,-0.0433322022672,-0.0444318294587,-0.0424861034789,-0.0433688314236,-0.0441993487352,-0.0466462894092,-0.0421815305916,-0.0480426920107,-0.0440407575058,-0.0451863669501,-0.0438851545456,-0.0468621666477,-0.0494224337745,-0.0487142745803,-0.047279856739,-0.0466364234984,-0.0482657933956,-0.0437822757631,-0.0438227028428,-0.0452228384296,-0.0402252987183,-0.0494692349765,-0.0455476340908,-0.0425087854889,-0.0431090235723,-0.0468934697327,-0.0484237249731,-0.0448336799908,-0.0481226535053,-0.0479535021258,-0.0430423712817,-0.0462795038823,-0.0414234803915,-0.0452397330663
C,0.000951058826582,0.000723758727412,0.00179543187968,0.00295060931961,-0.000592690356493,0.000888222261877,0.00130229096057,0.00138338586595,0.00279809251132,0.00138322914357,0.00129606854432,0.00075733622314,0.00162141982891,0.00103134565998,0.000743984157611,0.0012855408798,5.35851204175e-05,0.000980999050886,0.000373430702732,0.000130684764181,0.0020305742552,0.000283844983666,0.000645957848877,0.000296284381593,-0.000204495440318,0.00183280053048,0.000838885895225,0.0010106055341,8.17399916294e-05,0.000587672747978,0.00210952983562,0.00105701315459,0.00051885084703,0.00193804322637,0.000599802551958,0.00174596139789,-0.00033016623563,0.00200335595484,0.000741633841849,0.000954271593906,0.0013288838404,0.00106306600572,0.000140912339014,0.00164571300492,0.000757606456993,0.000970991729465,0.00167376732991,0.000535424703014,0.00112993083459,0.000998141105546,0.000599992550556,0.000719170977023,0.000958277241878,0.00103718590409,0.00127884938695,0.00105086856772,0.0025146840433,0.00139182407221,0.000756967733283,0.000528427350192,0.00203843543031,0.000931315577385,0.00103541195268,0.000782289150744,0.000183020052796,0.000157499312812,0.000843139230365,0.000531575440732,-6.57351349029e-05,0.000589305747588,0.000560556243759,-9.28147513726e-05,0.000881293480462,0.000718158641786,0.000905126413291,0.00112836799983,0.000566270597556,0.00169217859255,0.00122126081023,0.00166166226129,0.000813973549137,0.0015790555293,0.0008450302597,0.00106650536072,0.00270203376616,0.00119519210035,0.000544285172212,0.000223577753274,0.000581668053599,0.00147198364355,0.000950582768106,0.00155376679914,0.00023618733619,0.00150024860675,0.00137887775231,0.00105474535893,0.000798618468945,-0.000716888847601,-0.000972054564421,0.000614984618647
D,-0.0110228092579,-0.011237287365,-0.0152235241571,-0.0146893040742,-0.0135270182699,-0.011533194834,-0.0155799865664,-0.0138807938783,-0.0153670715722,-0.0166868910847,-0.0148494327597,-0.0138899012844,-0.0114387368377,-0.0152524741501,-0.0163462267877,-0.014099174486,-0.0150697232507,-0.0138995500117,-0.01431930218,-0.0161019543832,-0.0150793291793,-0.0149291859993,-0.0177177158673,-0.0136234953917,-0.0164522135021,-0.0128238505153,-0.0129853755449,-0.0161733341536,-0.0147267866209,-0.0156293334042,-0.016694426848,-0.0165290083829,-0.0131693454579,-0.0142917950211,-0.0176146102182,-0.0160382909776,-0.0135486432413,-0.0143499314,-0.011710000231,-0.0154879031152,-0.0143354865631,-0.0115382559685,-0.0156440164929,-0.0153596999569,-0.0154745230538,-0.0130078845386,-0.0181229281993,-0.0154485450459,-0.0111464959609,-0.0108180516557,-0.0137888790467,-0.0134184359404,-0.0115808571981,-0.0152079605957,-0.0157778591501,-0.0158385650969,-0.0164038468617,-0.0150088018848,-0.0167153783396,-0.01557477009,-0.015222469437,-0.0147133095271,-0.0114738096492,-0.0174187682057,-0.01512219995,-0.0143130449266,-0.0121598183939,-0.0152962021905,-0.0168623804951,-0.0176325340339,-0.0155903993261,-0.0130864761387,-0.0129579558697,-0.0153832424847,-0.0133080858436,-0.0139047637223,-0.014758312056,-0.013873594974,-0.0136196697702,-0.0124990911065,-0.0179934529192,-0.0128622011405,-0.0143765914167,-0.0141400458495,-0.0174275108026,-0.0175893060028,-0.0129322427213,-0.0146660914739,-0.0152712320076,-0.0145949675437,-0.0154519589267,-0.0128020822602,-0.0120775523416,-0.0143469759393,-0.0122114136836,-0.0141356206183,-0.0172474110221,-0.0165373725393,-0.0137597948464,-0.00991415718127
E,0.037935722427,0.0421857225562,0.0334906288112,0.037528602702,0.0373867843739,0.037107354565,0.0398472648851,0.037808228341,0.0382863124761,0.0387657471866,0.0349330828337,0.037908415308,0.0354623328641,0.0381139203128,0.03609577537,0.0368576830659,0.0372612265553,0.0411569409621,0.04035752084,0.0413247088843,0.0366025927691,0.0389383260817,0.0411362709784,0.038386484054,0.0371510271307,0.0378793792401,0.044770970807,0.0390641722062,0.0388255404414,0.035786370874,0.0403780280396,0.0351583362322,0.0369088628401,0.0390939170246,0.0313223155202,0.0349472902535,0.0360044539895,0.036948708473,0.0359879282692,0.0371415773844,0.0346922188374,0.040544638169,0.0358336301273,0.0435825989867,0.0430943963925,0.0378932563202,0.0387302104183,0.0364542508279,0.0365568245874,0.0357826178488,0.0424672815982,0.0362401056989,0.0425946345862,0.0355533855655,0.0360728494955,0.0380660020348,0.0356181893517,0.0365640120031,0.0361581885142,0.0393873060004,0.0372476083197,0.0335191087255,0.0413201573956,0.0387750073962,0.0367757936317,0.0370358121889,0.0410511782634,0.0347986348215,0.0348792897799,0.0393450254783,0.036711850846,0.0396208678714,0.0375228536459,0.038448498792,0.0358472292567,0.0409461681174,0.0385324737624,0.0396760887576,0.034123930847,0.0395160886608,0.0357486454905,0.0390768716531,0.0391185931209,0.0373943764032,0.0403467017506,0.0397838242185,0.035901711298,0.0400771423654,0.035949307745,0.0332072991922,0.0361274890301,0.0434156828253,0.0402625634549,0.0385903981379,0.0375752271064,0.0401186494722,0.037961761415,0.0370124182718,0.0396638178793,0.0339700497984
F,0.00668582192732,0.00913263095479,0.0139432399944,0.00895091937055,0.00998894263949,0.00774415585049,0.00857166530639,0.0103454815904,0.0100449771278,0.0125440232097,0.00993949510879,0.00789511882459,0.00932445196154,0.0089658361015,0.00851927949757,0.0123317131256,0.00736753795913,0.00953531504315,0.00521190619326,0.0095724170495,0.00883589563921,0.00637800370585,0.00862572422416,0.00992249755824,0.0104885700502,0.0091885645068,0.00819457367996,0.00869546028555,0.0057745320217,0.0119768057542,0.00895210091181,0.00897383442328,0.0103680674765,0.00982643713675,0.0108397435592,0.0127209234366,0.00862033318283,0.00988559315636,0.00841077299736,0.00807160954014,0.0111010761031,0.00618194262334,0.00745919303274,0.00776773060805,0.0119483657465,0.00936912633726,0.0109178929646,0.00864895711385,0.00761442079353,0.00954526724153,0.00702881869888,0.010048217333,0.00601338038467,0.0105492756484,0.0113285122669,0.00916422471768,0.0109674885888,0.00907540282561,0.00935500167005,0.00825013141885,0.00713108190688,0.00986402071465,0.00861089819365,0.00936209014404,0.00864123362461,0.00737174367289,0.007115055275,0.00833321360322,0.0102955008924,0.0084601804731,0.0119971171848,0.00628291453051,0.00775574704426,0.0101690178289,0.0074558882165,0.00833699018503,0.0083049632133,0.00716906812023,0.0103988769544,0.0087838974879,0.0126812411466,0.0073796668943,0.0096283611061,0.00842129238412,0.00656039988674,0.00997925480052,0.00883582062909,0.0105336868179,0.00958856821771,0.0091081970314,0.00945065100528,0.00858214666855,0.007850412326,0.00959361694616,0.00999649894178,0.00661309711378,0.00956234024932,0.0106488159623,0.00796470499982,0.0100405254358
G,-0.00796838912883,-0.0128292152369,-0.013342861356,-0.00856462308653,-0.00958770073975,-0.0118947997274,-0.0122610468707,-0.00859722409841,-0.00990862254616,-0.0123714935377,-0.0125689268644,-0.00809008212376,-0.0109907369876,-0.00979362547515,-0.00858687126177,-0.0120068275733,-0.00755275393306,-0.0104645212119,-0.0100016313734,-0.00875168275621,-0.0100762031006,-0.00956509163316,-0.00944365418095,-0.00728034040337,-0.00687879567363,-0.00856701326505,-0.0101009712992,-0.0106155708805,-0.00849330277965,-0.0102119427469,-0.00911667321831,-0.00419832339621,-0.0107618213346,-0.0112480776757,-0.00702448130158,-0.0129737619095,-0.0110644613189,-0.010067139051,-0.00966633044618,-0.00799592624311,-0.0100788857713,-0.0107890704324,-0.00842517936128,-0.0151312455226,-0.0123063018074,-0.0097592559017,-0.0112293916403,-0.0078886061656,-0.00870734223132,-0.00780273519028,-0.00971179469782,-0.00881573027178,-0.00849799258744,-0.00976093138703,-0.0113786830089,-0.00899111992602,-0.010672630869,-0.0110839612734,-0.0062991347071,-0.00801416621594,-0.00904733197545,-0.0116175574001,-0.0104792578226,-0.0112241966307,-0.00567190801594,-0.00641583077,-0.00838952744344,-0.00886899752894,-0.00773712911872,-0.0103733727514,-0.0115640686758,-0.00992250895765,-0.0104357984762,-0.0111878227883,-0.0110990779383,-0.0109545791573,-0.0101001960076,-0.00883636300083,-0.0119240282334,-0.00860924691386,-0.00869831058351,-0.0146729212712,-0.0112176616985,-0.00952349851713,-0.0111402076908,-0.0102088231032,-0.0115926847542,-0.00921956622131,-0.00835054211106,-0.0117345299136,-0.00888376925219,-0.0100721928572,-0.0101935362402,-0.0106049930719,-0.00950102215857,-0.00983623095934,-0.00725743022268,-0.00922915185838,-0.00635873590556,-0.007147388235
H,-0.00257939813184,-0.00347406267301,-0.00284567632319,-0.0037561918082,-0.00493532944746,-0.00340045512514,-0.00314027350781,-0.004314134006,-0.00423209320961,-0.00482622171186,-0.0050020102192,-0.0043844079883,-0.00310008653168,-0.00376854098647,-0.00447715148795,-0.00302690211586,-0.00551329011705,-0.00333921710218,-0.00494470078436,-0.00390576637115,-0.00346725199815,-0.00552702283465,-0.00417381840708,-0.00399028235895,-0.00404754014364,-0.00422131134062,-0.00189259948409,-0.00342822421685,-0.00197613053843,-0.005329802765,-0.00278128741225,-0.00520465652719,-0.00505049580861,-0.00188602695088,-0.00447040386718,-0.00292716895265,-0.00427179992464,-0.00546393822669,-0.00423451132864,-0.00515254694268,-0.00297495468611,-0.00381631185086,-0.00469780172347,-0.00244955056205,-0.0047526083571,-0.00305619892669,-0.00438274148808,-0.00362951760404,-0.00320817158254,-0.003190311147,-0.00591084884303,-0.00368952661035,-0.00563998163193,-0.00478951513302,-0.00532985698107,-0.00353538666251,-0.0038749959334,-0.00377380687498,-0.00406093231315,-0.00502902640768,-0.00333230367554,-0.00462802538573,-0.00507266221423,-0.00317469555955,-0.00549865976321,-0.00287744014232,-0.002715900999,-0.0028443266896,-0.00635035930643,-0.00519686672663,-0.00255481463412,-0.0050119579687,-0.00499771199388,-0.00437744202657,-0.00412914929723,-0.00402264468714,-0.00263383051128,-0.00390777401656,-0.00355400118797,-0.00484279540271,-0.00411143661513,-0.0048642488917,-0.00408688796142,-0.0056194685302,-0.00184348716342,-0.00259572933604,-0.00361229570139,-0.00199431234455,-0.00594644585132,-0.0030454811728,-0.00339691447158,-0.00295410271396,-0.00331022064282,-0.0031190558977,-0.0039943547596,-0.00340742778356,-0.00410920829911,-0.0048624136033,-0.00513271642093,-0.00468564672178
I,0.0212508363307,0.0244875605001,0.0236051576295,0.0229371008852,0.0204647800457,0.019588365935,0.0207903592662,0.0217536664987,0.0170884376313,0.0245510771624,0.0206626425452,0.0199567365302,0.0215981205672,0.02042412772,0.0218259439819,0.0221116821228,0.0208328689015,0.0165469512992,0.0244132522806,0.0193583280448,0.0192996773617,0.0231793748307,0.0205083430497,0.0205293409009,0.0212308087808,0.0189837925645,0.0189212562625,0.0236594179947,0.0210626494372,0.02281544756,0.0215510494782,0.020658604199,0.0221708615037,0.0191048397477,0.0252712798752,0.0228765828742,0.020884244845,0.0214919324519,0.0190185054869,0.0193352992075,0.0246027664008,0.0225996821894,0.0215704616057,0.0218051276432,0.0198915999375,0.020958662837,0.0210108264852,0.0201665947675,0.0210604982444,0.0214693541227,0.0207245816752,0.0250402363088,0.0209782644608,0.0215323572157,0.0217975382762,0.0200004596022,0.0227537139654,0.0222548463637,0.0228757582017,0.0234319967172,0.0200435053482,0.019786527131,0.0176204100598,0.0209089908363,0.0228929081412,0.0228809955455,0.0204054247147,0.0226390534595,0.0200527547727,0.0228227991516,0.0184857882892,0.0217848150188,0.0178768696257,0.0238339151647,0.0205808602753,0.0233294427124,0.02190349287,0.0212519726895,0.0208079888485,0.0214968807306,0.0236406363473,0.0205007419366,0.0208774344026,0.0219868932873,0.019929288109,0.0212284245153,0.0226610247412,0.0206793576452,0.0247458459321,0.0234063275875,0.01934194296,0.0220906675623,0.0199053813578,0.0209336235396,0.0247193072041,0.0184627679984,0.0222237282531,0.0195966908325,0.0208313295334,0.0219807199863
K,0.0457007854072,0.0461077904921,0.0427751050213,0.0469558093177,0.0442061728393,0.04719751508,0.0468290409697,0.0450787274596,0.0448062333507,0.0460633819079,0.0473053175417,0.0479356351669,0.0415219726549,0.0459981524933,0.0445348624964,0.0406895892056,0.0442414786569,0.0446959167563,0.0443261071013,0.0438667920371,0.0462681280374,0.046009121966,0.0457307105465,0.0428448848158,0.0466861544687,0.0466040000667,0.0511273170115,0.0490044931066,0.0471880587571,0.0458228888451,0.0432895692286,0.0431900078072,0.0479770559405,0.0485714944781,0.0470841230387,0.0473135384572,0.0441591896052,0.0460540229926,0.0456030032672,0.0439805945126,0.0430682228349,0.0493179380612,0.0418518970419,0.0464250394556,0.0473520621068,0.0438612691149,0.046290150285,0.0440042703723,0.0436926818313,0.0427678539832,0.046434233056,0.0460565865439,0.0454291511909,0.0434053574851,0.0431286040433,0.0453952299169,0.0457056123119,0.0465959121301,0.0434869048414,0.0475343253938,0.0458343618087,0.0450500889672,0.0457755856064,0.0494884690063,0.0476646498278,0.0460276941794,0.0449352194437,0.0435348885687,0.0432422594721,0.0474108422198,0.0393556276589,0.0463505689732,0.0475815295648,0.0442743790022,0.0441953517873,0.0459533102243,0.0435847735351,0.048050527719,0.047836282754,0.0452003344858,0.045396110646,0.0501940543902,0.0462106105189,0.0445464107866,0.045416856602,0.046738889235,0.0465233786249,0.0471504850854,0.0429040587653,0.0423540337827,0.0464081584983,0.0463955481367,0.0420604434977,0.0442245182379,0.0467451228734,0.0444461817528,0.0444173359353,0.0408839428701,0.0451093519381,0.0427596324977
L,-0.00519553048296,-0.00239400175479,0.00441000087327,-0.00215192164926,-0.000967142726828,-0.00181418356638,0.00144759302998,-0.000912555116011,-0.000441051513819,-9.39598994109e-05,0.000856751413005,-0.00144222719429,-0.00444383672987,-0.00465155913098,-0.00654800452769,-0.00226497782357,-0.00273667864602,-0.00402532333832,-0.00432910859971,-0.00131653606229,-0.00170667877801,0.00126762615822,0.0010076813666,-0.00026339970589,0.0039286627777,-0.00239398713398,-0.00280015246025,-0.000784570126037,0.00117645496903,-0.00222197029692,-0.00280806953673,-0.00252305506585,-0.00139926400059,-0.00284468006177,-0.00155125638972,0.000765965658183,0.00280078019365,0.00132200215039,-0.000501800389853,-0.00448264248431,-0.000366735139661,-0.00637899248129,-8.44209972805e-05,0.00296130919284,-0.00195517848417,0.00468021027251,-0.000130284137421,-0.0013043313699,-0.00461891021068,-0.00163262289742,-0.00118830060788,-0.00740137293485,-0.00198464820838,0.00113220959946,-0.000280966446519,0.00105371044115,-0.00449576764849,-0.000632485325438,-0.000445372736538,-0.00174142931124,-0.00228401622486,0.000256967183603,-0.00229599434555,-0.000815049712701,-0.00196825841707,-0.00120382467327,-0.00493654981672,-0.000362428136777,-0.00283901532575,-0.000493526825048,0.00482694829632,-0.000145900247074,0.00168766531637,-0.000221895669559,0.000653962422941,-0.0019873411869,0.000990225664087,-0.00335848580091,0.000410234766014,-0.00202448725994,0.00109358619974,-0.000866322093399,-0.00106971268957,-0.00135400755817,-0.000483920942269,-0.00297705984825,0.000688208632805,0.00145955758679,-0.000926994544326,0.00491805942984,-0.00262470332541,-0.0041663275555,0.000631110186802,0.00233723336543,-0.0066529554373,0.00103650880985,-0.00147654434435,0.00319132484704,-0.00173770216979,0.000883757028287
