assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path
GCA_000762265.1	PRJNA49593	SAMN03085433		representative genome	2162	2162	Methanobacterium formicicum	strain=BRM9		latest	Complete Genome	Major	Full	2014/10/02	ASM76226v1	PGgRc	GCF_000762265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000762265.1_ASM76226v1
GCA_000953115.1	PRJEB7090	SAMEA2724982		na	2162	2162	Methanobacterium formicicum			latest	Complete Genome	Major	Full	2014/09/10	DSM1535	CEBITEC	GCF_000953115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000953115.1_DSM1535
GCA_000302455.1	PRJNA169610	SAMN02471940	AMPO00000000.1	representative genome	1204725	2162	Methanobacterium formicicum DSM 3637	strain=DSM 3637		latest	Contig	Major	Full	2012/10/02	ASM30245v1	Deparment of Genetics, University of Seville, Spain	GCF_000302455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000302455.1_ASM30245v1
GCA_000824705.1	PRJEB6664	SAMEA2796325	CCXV00000000.1	na	2173	2173	Methanobrevibacter smithii	strain=ACE6		latest	Contig	Major	Full	2014/10/02	Methanobrevibacter smithii	URMITE	GCF_000824705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000824705.1_Methanobrevibacter_smithii
GCA_000016525.1	PRJNA18653	SAMN02604313		representative genome	420247	2173	Methanobrevibacter smithii ATCC 35061	strain=ATCC 35061; PS; DSMZ 861		latest	Complete Genome	Major	Full	2007/06/04	ASM1652v1		GCF_000016525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000016525.1_ASM1652v1
GCA_000151225.1	PRJNA29303	SAMN00008834	ABYV00000000.2	na	521002	2173	Methanobrevibacter smithii DSM 2374	strain=DSM 2374		latest	Scaffold	Major	Full	2009/10/06	ASM15122v1		GCF_000151225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000151225.1_ASM15122v1
GCA_000151245.1	PRJNA27821	SAMN00008835	ABYW00000000.1	na	483214	2173	Methanobrevibacter smithii DSM 2375	strain=DSM 2375		latest	Scaffold	Major	Full	2008/11/13	ASM15124v1		GCF_000151245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000151245.1_ASM15124v1
GCA_000189895.2	PRJNA59655	SAMN02436666	AELP00000000.1	na	911121	2173	Methanobrevibacter smithii TS146D	strain=TS146D		latest	Contig	Major	Full	2011/02/17	ASM18989v2	Washington University in St.Louis	GCF_000189895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000189895.2_ASM18989v2
GCA_000190095.2	PRJNA59679	SAMN02436669	AELZ00000000.1	na	911131	2173	Methanobrevibacter smithii TS95C	strain=TS95C		latest	Contig	Major	Full	2011/02/17	ASM19009v2	Washington University in St.Louis	GCF_000190095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000190095.2_ASM19009v2
GCA_000189955.2	PRJNA59665	SAMN02436668	AELS00000000.1	na	911124	2173	Methanobrevibacter smithii TS147B	strain=TS147B		latest	Contig	Major	Full	2011/02/17	ASM18995v2	Washington University in St.Louis	GCF_000189955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000189955.2_ASM18995v2
