asm_name,assembly_accession,assembly_level,bioproject,biosample,ftp_path,gbrs_paired_asm,genome_rep,infraspecific_name,isolate,organism_name,paired_asm_comp,refseq_category,release_type,seq_date,seq_rel_date,species_taxid,submitter,taxid,version_status,wgs_master,OptimumTemperature
ASM20071v1,GCA_000200715.1,Chromosome,PRJNA202,SAMN02744041,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000200715.1_ASM20071v1,GCF_000200715.1,Full,,,Cenarchaeum symbiosum A,identical,representative genome,Major,,2006/11/20,46770,,414004,latest,,10.0
ASM30672v1,GCA_000306725.1,Complete Genome,PRJNA74005,SAMN00739943,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000306725.1_ASM30672v1,GCF_000306725.1,Full,strain=R15,,Methanolobus psychrophilus R15,identical,representative genome,Major,,2012/10/18,420950,Beijing Institute of Genomics,1094980,latest,,18.0
ASM20458v1,GCA_000204585.1,Chromosome,PRJNA52465,SAMN02471010,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000204585.1_ASM20458v1,GCF_000204585.1,Full,strain=SFB1,,Candidatus Nitrosoarchaeum limnia SFB1,identical,na,Major,,2011/04/20,1007084,,886738,latest,AEGP00000000.1,22.0
ASM1582v1,GCA_000015825.1,Complete Genome,PRJNA16330,SAMN02598365,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000015825.1_ASM1582v1,GCF_000015825.1,Full,strain=JR1,,Methanoculleus marisnigri JR1,identical,representative genome,Major,,2007/02/16,2198,,368407,latest,,22.0
ASM1372v1,GCA_000013725.1,Complete Genome,PRJNA9634,SAMN02598545,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000013725.1_ASM1372v1,GCF_000013725.1,Full,strain=DSM 6242,,Methanococcoides burtonii DSM 6242,identical,representative genome,Major,,2006/04/10,29291,,259564,latest,,23.4
ASM29936v1,GCA_000299365.1,Complete Genome,PRJNA174387,SAMN02603137,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000299365.1_ASM29936v1,GCF_000299365.1,Full,strain=AR1,,Candidatus Nitrosopumilus koreensis AR1,identical,na,Major,,2012/09/27,1510466,Chungbuk National University,1229908,latest,,25.0
ASM29939v1,GCA_000299395.1,Complete Genome,PRJNA174388,SAMN02603138,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000299395.1_ASM29939v1,GCF_000299395.1,Full,strain=AR2,,Candidatus Nitrosopumilus sp. AR2,identical,na,Major,,2012/09/27,1229909,Chungbuk National University,1229909,latest,,25.0
ASM50420v1,GCA_000504205.1,Contig,PRJNA81435,SAMN02597164,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000504205.1_ASM50420v1,GCF_000504205.1,Full,strain=DSM 2278,,Methanolobus tindarius DSM 2278,identical,representative genome,Major,,2013/12/05,2221,JGI,1090322,latest,AZAJ00000000.1,25.0
ASM37644v1,GCA_000376445.1,Contig,PRJNA170085,SAMN02441396,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000376445.1_ASM37644v1,GCF_000376445.1,Full,strain=DX253,,Haladaptatus paucihalophilus DX253,identical,representative genome,Major,,2013/04/20,367189,DOE Joint Genome Institute,797209,latest,AQXI00000000.1,27.0
ASM1846v1,GCA_000018465.1,Complete Genome,PRJNA19265,SAMN00000032,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000018465.1_ASM1846v1,GCF_000018465.1,Full,strain=SCM1,,Nitrosopumilus maritimus SCM1,identical,representative genome,Major,,2007/11/15,338192,,436308,latest,,27.0
